"id","s1","s2","total","order"
"005",0.866666666666667,0.9,0.049955294130196,5
"010",0.866666666666667,0.9,0.0999092842955872,10
"015",0.866666666666667,0.9,0.14986186612417,15
"020",0.866666666666667,0.9,0.199812920840238,20
"025",0.866666666666667,0.9,0.249762312373538,25
"030",0.866666666666667,0.9,0.299709883692937,30
"035",0.866666666666667,0.9,0.349655452098064,35
"040",0.866666666666667,0.9,0.399598803091296,40
"045",0.866666666666667,0.9,0.44953968228082,45
"050",0.866666666666667,0.9,0.499477784502439,50
"055",0.866666666666667,0.9,0.549412738925659,55
"060",0.866666666666667,0.9,0.599344088221875,60
"065",0.866666666666667,0.9,0.649271258708031,65
"070",0.866666666666667,0.9,0.699193516331736,70
"075",0.866666666666667,0.9,0.749109899606499,75
"080",0.866666666666667,0.9,0.799019113343907,80
"085",0.866666666666667,0.9,0.848919352099649,85
"090",0.866666666666667,0.9,0.898807989155812,90
"095",0.866666666666667,0.9,0.948680986248502,95
"100",0.866666666666667,0.9,0.998531657286374,100
"105",0.733333333333333,0.9,1.04834769686449,105
"110",0.4,0.9,1.09810237177253,110
"115",0.266666666666667,0.9,1.14771647565632,115
"120",0.233333333333333,0.9,1.19651128464071,120
"125",0.166666666666667,0.866666666666667,1.0606271297179,125
"130",0.166666666666667,0.866666666666667,0.974946183702044,130
"135",0.133333333333333,0.866666666666667,0.901687190110691,135
"140",0.1,0.9,0.824256086166188,140
"145",0.1,0.9,0.790387294458987,145
"150",0.0666666666666667,0.9,0.755871739785091,150
