"stock.s_1","stock.s_2","stock.s_3","stock.s_4","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4"
25.1622,104.54216,152.61434,142.09882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.5178501277692,102.667453116618,132.943828362788,127.186116412912,15.7554855815156,15.0612504930734,58.7737335074716,54.7240723146081,22.3868472828426,0,299515.92132026,0,37789.5321672651,26354.3267252847,121896.723294496,113497.725980497
6.08591088389337,98.3824104887041,108.245759232998,106.487915830551,9.89607989356761,17.2931749131235,59.8588681409145,57.2664189490615,26.173712019352,0,296887.189732045,0,23735.7476247219,30259.7703947326,124147.292524257,118770.552900354
1.80648790649017,90.6582998974582,78.243469746975,79.4087296854439,5.46223399034332,20.3164840149672,59.7530883296812,58.7827355616794,32.0888731002669,0,294462.36499765,0,13101.1682258385,35549.9868942297,123927.905195759,121915.393554923
0,77.3097960231013,42.6799661976978,45.1919913961634,2.17927219084316,25.1634607027133,58.0536156928624,58.9181933102523,43.1306668056554,0,291814.660727606,0,5226.98434973733,44031.2751722148,120403.198946997,122196.332925463
0,51.9601620615839,2.84769896274089,4.17080322929032,0,35.7362425300007,52.7371675067439,55.8411318599254,71.8286548746069,0,287651.198773018,0,0,62531.6345414205,109376.885408987,115814.507477485
0,0,0,0,0,106.030153915435,15.5335724005494,22.7508155806851,317.089797727575,0,264617.354498121,0,0,185532.623622768,32216.6291587394,47185.191514341
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
