"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","mortality1","mortality2"
1631.3743,32.726,NA,NA,NA,NA,NA,NA,NA,NA,0.154930093721338,0.1
1770.15515880641,42.7532961000761,252.748973193589,0.562837499923941,42.9963058448193,23.2097950306482,654627.394060188,1054.17937569876,1077.38917072941,654670.390366033,0.154930093721338,0.1
1911.70687625727,54.5679127443996,274.250304655183,0.96058627802765,42.9963058448175,30.3213114761162,710320.142812009,1808.44254778719,1838.76385926331,710363.139117854,0.154930093721338,0.1
2054.62533418132,67.7148973513099,296.18092550626,1.56484691242696,42.9963058448175,38.7004238234985,767124.836940469,2956.74518441332,2995.44560823682,767167.833246314,0.154930093721338,0.1
2197.42844843307,81.3607928851472,318.323295586942,2.40971467275628,42.9963058448175,48.0244725308711,824478.003923452,4564.67545120592,4612.69992373679,824521.000229297,0.154930093721338,0.1
2338.61566579451,94.4285822125153,340.447795461679,3.47878443051709,42.9963058448193,57.7023567315067,881784.883498995,6601.42158800861,6659.12394474011,881827.87980484,0.154930093721338,0.1
2476.73059519141,105.896338520714,362.321944279726,4.6860197137213,42.9963058448175,66.9702388983437,938443.303767502,8903.05555730411,8970.02579620246,938486.300073346,0.154930093721338,0.1
2610.42131903356,115.1165521327,383.72010323552,5.8933069474498,42.9963058448193,75.103352428097,993868.815094798,11205.9237394498,11281.0270918779,993911.811400643,0.154930093721338,0.1
2738.49309253934,121.957935439444,404.432819610059,6.96422381938593,42.9963058448193,81.6424732516928,1047518.89304813,13249.3444040551,13330.9868773067,1047561.88935397,0.154930093721338,0.1
2859.94909025777,126.704846955002,424.27499148235,7.81658942582628,42.9963058448175,86.494490127438,1098914.08663174,14876.0991546835,14962.5936448109,1098957.08293758,0.154930093721338,0.1
2974.01641966582,129.833611628186,443.092180591884,8.43691416038375,42.9963058448175,89.8610745955894,1147654.36986325,16060.1643803526,16150.0254549482,1147697.3661691,0.154930093721338,0.1
3080.15648221821,131.821966512784,460.764642627616,8.85872967905805,42.9963058448175,92.0800438177288,1193429.58102821,16865.388895132,16957.4689389497,1193472.57733405,0.154930093721338,0.1
3178.06056962937,133.055082661885,477.208932466446,9.13214388230514,42.9963058448175,93.4902164425436,1236023.58056874,17387.3509245048,17480.8411409473,1236066.57687459,0.154930093721338,0.1
3267.63303400266,133.807915434465,492.377221904737,9.30379454645342,42.9963058448157,94.3647618519927,1275312.48387181,17715.0517969146,17809.4165587666,1275355.48017765,0.154930093721338,0.1
3348.96527838028,134.263047592277,506.254692204963,9.40937512821775,42.9963058448175,94.8986827205354,1311257.90744345,17916.6212814652,18011.5199641857,1311300.9037493,0.154930093721338,0.1
3422.30413415555,134.536554018594,518.855504448977,9.47349379297497,42.9963058448193,95.221469620697,1343896.5313179,18039.0350838299,18134.2565534506,1343939.52762374,0.154930093721338,0.1
3488.01800025609,134.700317176444,530.217900247655,9.5121298971927,42.9963058448193,95.4154446892777,1373327.40891563,18112.798725816,18208.2141705052,1373370.40522148,0.154930093721338,0.1
3546.5635681337,134.79815642484,540.398955681403,9.53530106446518,42.9963058448193,95.5315881020772,1399698.37870013,18157.0370625078,18252.5686506099,1399741.37500597,0.154930093721338,0.1
3598.45522091412,134.856533133565,549.469425999651,9.5491579806693,42.9963058448193,95.6009772391919,1423192.71091845,18183.4927209378,18279.093698177,1423235.7072243,0.154930093721338,0.1
3644.23842918553,134.891336810488,557.50900462823,9.55743063268776,42.9963058448157,95.6423789211593,1444016.8274822,18199.2869124761,18294.9292913972,1444059.82378804,0.154930093721338,0.1
3684.46778069565,134.912076733367,564.60220137663,9.56236441888504,42.9963058448193,95.6670622374125,1462389.6256999,18208.7065320365,18304.3735942739,1462432.62200575,0.154930093721338,0.1
3719.68973805198,134.924432445697,570.834938576393,9.56530512585134,42.9963058448157,95.6817713176232,1478533.66159473,18214.3209536383,18310.0027249559,1478576.65790057,0.154930093721338,0.1
3750.4298361742,134.931792077926,576.291879730658,9.56705725321145,42.9963058448157,95.6905341835594,1492668.2305725,18217.6661304863,18313.3566646699,1492711.22687835,0.154930093721338,0.1
3777.18379883921,134.93617537944,581.054446013737,9.56810097734549,42.9963058448157,95.6957537507399,1505004.22975894,18219.6588180938,18315.3545718445,1505047.22606478,0.154930093721338,0.1
3800.41194397304,134.938785862684,585.199439956844,9.56872263295482,42.9963058448157,95.6988624572634,1515740.59307037,18220.8456887712,18316.5445512284,1515783.58937622,0.154930093721338,0.1
3820.53622768757,134.940340486033,588.798178659451,9.56909287068612,42.9963058448193,95.7007138531267,1525062.04605787,18221.5525501429,18317.2532639961,1525105.04236371,0.154930093721338,0.1
3837.93931635901,134.941266292815,591.916035821417,9.56931336208613,42.9963058448193,95.7018164165103,1533137.91967879,18221.9735144224,18317.6753308389,1533180.91598464,0.154930093721338,0.1
3852.96514859623,134.941817620888,594.612297980374,9.5694446699747,42.9963058448229,95.7024730132724,1540121.77792292,18222.224208699,18317.9266817123,1540164.77422877,0.154930093721338,0.1
3865.92053561469,134.942145940349,596.940251577078,9.56952286568769,42.9963058448193,95.7028640238317,1546151.6433291,18222.3735007042,18318.076364728,1546194.63963495,0.154930093721338,0.1
3877.0774363991,134.942341455863,598.947430902044,9.56956943189629,42.9963058448193,95.7030968731686,1551350.63921663,18222.462405357,18318.1655022302,1551393.63552247,0.154930093721338,0.1
