"stock.s_1","stock.s_2","stock.s_3","stock.s_4","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4"
25.1622,104.54216,152.61434,142.09882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.40515951860213,92.0444162019297,182.343860380345,173.182359345635,26.8681761906827,25.6842874077617,9.37370148991453,8.72782938188572,160.912655860211,0,146767.605914581,0,64443.3205933524,44942.6229489755,19441.0568900827,18101.518138031
0,70.020295812526,209.959587382816,203.064931193756,2.88697882895993,33.9812370691476,16.8295539943221,15.9839868553404,241.799772814979,0,136530.523283966,0,6924.4187212604,59460.7084359651,34904.494984224,33150.788737976
0,52.1040383144801,238.104260309918,233.932979612831,0,27.4774788313836,20.5981575493489,19.9217549320589,257.020102054667,0,131861.645618329,0,0,48080.3672339433,42720.5787573497,41317.7197290902
0,39.0993070839439,267.261133336299,265.985243953459,0,20.4010836024059,23.3071269343555,22.8988160181237,256.446042845047,0,131272.699738923,0,0,35698.0200983259,48338.9812618532,47492.1444215886
0,29.0845251381438,296.018269794099,297.530789756256,0,15.7184431430438,26.860617812462,26.7323867574798,263.302279209836,0,138392.878194979,0,0,27504.2889961295,55708.9213430462,55442.9701350131
0,21.8361659497981,324.585271242878,328.481307569711,0,11.5789613848681,29.4622471396212,29.6127859457554,260.748476147059,0,142521.85256378,0,0,20260.982420856,61104.7005675744,61416.9180514966
0,16.8003516409783,353.34908449066,358.988011222248,0,8.33489904395095,30.9736574321913,31.3454379941023,249.998906211503,0,143584.294704017,0,0,14584.4896960958,64239.3655143648,65010.4383997683
0,13.2732794192066,382.088372836283,388.649259615961,0,6.09084815642429,32.0260292200469,32.5371170937734,237.450753374656,0,144324.341714081,0,0,10657.8270125928,66421.9846023773,67481.980852486
0,10.7595219380758,410.41807889632,416.972951979698,0,4.55341481333379,32.7689499788491,33.3316296780617,224.684508631467,0,144835.528474321,0,0,7967.61077451959,67962.802256133,69129.7999523
0,8.92759134373616,437.852508080844,443.453893530077,0,3.49346620203571,33.3142298633772,33.8462984048317,212.656039585039,0,145191.181683664,0,0,6112.90209498411,69093.7127366443,70197.222891621
0,7.55976314763334,463.884606289952,467.65702659249,0,2.75140175919345,33.7355095451259,34.1670831659253,201.852372872858,0,145442.555222102,0,0,4814.43031225429,69967.4467965911,70862.530486129
0,6.5130614905031,488.059394285619,489.279043618082,0,2.22141205590737,34.0777271032455,34.3548553110918,192.457609188386,0,145623.767347694,0,0,3887.04902954727,70677.2060121311,71251.9699152044
0,5.69270514294943,510.028661908848,508.176718051604,0,1.83447628726704,34.3668181428076,34.4527000401699,184.476510426129,0,145757.189153292,0,0,3209.98495222274,71276.780828183,71454.8998833124
0,5.0349788139054,529.580579616462,524.362707404139,0,1.54552088762594,34.61708512017,34.4913884624487,177.815796705828,0,145857.526318022,0,0,2704.36790437674,71795.8345392325,71535.1396711186
0,4.49637838138211,546.644007127063,537.977770489396,0,1.32481950429497,34.8362052445817,34.4929697213679,172.334892153489,0,145934.556404036,0,0,2318.18241681038,72250.2896772624,71538.4192021171
0,4.04672990817147,561.272459024402,549.251482046119,0,1.1524948203214,35.0284117966595,34.4730878532637,167.876645303264,0,145994.880590184,0,0,2016.6469615466,72648.9260662718,71497.1842076689
0,3.66478579703444,573.615637980109,558.46223552376,0,1.01505302593851,35.196377550063,34.4425638942431,164.28528366554,0,146043.029207143,0,0,1776.14993531747,72997.2870388307,71433.8775166601
0,3.33536647912808,583.886699941736,565.903577441131,0,0.903195481060251,35.342223356039,34.4085756331454,161.416271435599,0,146082.161316847,0,0,1580.42048471404,73299.7712404248,71363.3858631436
0,3.04747583312477,592.331623146478,571.859858233237,0,0.810422787291327,35.4679747987851,34.3755968841682,159.141055840954,0,146114.512512034,0,0,1418.08589743024,73560.5797326803,71294.9879377648
0,2.79303894452309,599.20441105733,576.591155871384,0,0.732131545167694,35.5757031573122,34.3461597677647,157.348642413629,0,146141.686163246,0,0,1281.09109904988,73784.0083482656,71233.9353583439
0,2.56604417980629,604.74941621488,580.325793243166,0,0.665020564246637,35.6675114870483,34.3214624189497,155.94528007735,0,146164.846234487,0,0,1163.65963352441,73974.4188241381,71182.7130569017
0,2.36195234718209,609.190376269985,583.258267062848,0,0.606694269802612,35.7454645625556,34.3018356378864,154.853103813746,0,146184.847212146,0,0,1061.59970024331,74136.0935027404,71142.0071129764
0,2.17728511305788,612.724881309006,585.550576519377,0,0.555393856568092,35.8115153408127,34.2870852728638,154.008287260729,0,146202.323109666,0,0,971.833724161413,74273.0828168454,71111.4148559196
0,2.00933546679772,615.52275232927,587.335390621082,0,0.509812604353805,35.8674503658663,34.2767315000245,153.359052377544,0,146217.749330704,0,0,892.075193224332,74389.0920588067,71089.9411310508
0,1.85596233128628,617.726945128283,588.719979441588,0,0.468967540488328,35.914859288516,34.2701676412403,152.863741435606,0,146231.486202901,0,0,820.604092021882,74487.4181643821,71076.3276879325
0,1.71544380801384,619.455887272685,589.790242185072,0,0.432109382553938,35.9551254787556,34.2667596089351,152.489060895658,0,146243.809929661,0,0,756.109318686706,74570.9302429391,71069.2594289313
0,1.58637164374962,620.806472225935,590.614462933579,0,0.398658822274344,35.989431943825,34.2659037041453,152.208544738098,0,146254.934782956,0,0,697.577193803869,74642.081851493,71067.4842823973
0,1.46757488990513,621.857207095136,591.246622454286,0,0.368161132947706,36.0187767729487,34.2670565643482,152.001246845036,0,146265.029126752,0,0,644.212032043225,74702.9430270956,71069.8753144582
0,1.35806436104804,622.671217221439,591.729214764091,0,0.340253638746311,36.0439934561309,34.2697473753674,151.850650557155,0,146274.227053585,0,0,595.379219614682,74755.2424280156,71075.456056512
0,1.2569919871219,623.298954449865,592.095584024822,0,0.31464227923201,36.0657727828173,34.2735794081953,151.743772867763,0,146282.636877915,0,0,550.564206622964,74800.4127515631,71083.403692597
