"id","s1","s2","total","order"
"10",0.833333333333333,0.9,0.127715486828596,10
"100",0,0,0.222529348308618,100
"15",0.833333333333333,0.9,0.191567243944942,15
"20",0.8,0.9,0.255413872891589,20
"25",0.8,0.9,0.319254110948071,25
"30",0.766666666666667,0.9,0.383086136504057,30
"35",0.733333333333333,0.9,0.446907185462202,35
"40",0.7,0.866666666666667,0.510712776499272,40
"45",0.666666666666667,0.866666666666667,0.57449495121467,45
"5",0.833333333333333,0.9,0.0638595125390956,5
"50",0.6,0.866666666666667,0.638237534853177,50
"55",0.5,0.866666666666667,0.701899310503214,55
"60",0.266666666666667,0.866666666666667,0.765307015838287,60
"65",0,0.866666666666667,0.507270969304796,65
"70",0,0.3,0.363349505552635,70
"75",0,0.866666666666667,0.30334771895187,75
"80",0,0.1,0.280415607107596,80
"85",0,0,0.261715797903455,85
"90",0,0,0.23922538794576,90
"95",0,0,0.231043725992408,95
