"id","s1","s2","s3","s4","total","order"
"10",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.00217914907350372,10
"100",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217900015262832,100
"105",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0228794137346324,105
"11",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0239688174647475,11
"115",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0250582126998984,115
"12",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.026147599424936,12
"125",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0272369776235401,125
"13",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0283263472816868,13
"135",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0294157083840969,135
"14",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0305050609145189,14
"145",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0315944048569239,145
"15",1.53333333333333,1.4,1.73333333333333,1.73333333333333,0.0359524515224952,15
"20",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.00435826537056429,20
"25",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.00544781119118536,25
"30",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.00653734877278639,30
"35",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.00762687810207638,35
"40",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.00871639916282158,40
"45",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.00980591194095953,45
"5",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0010895786267085,5
"50",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0108954164199654,50
"55",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0119849125875445,55
"60",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0130744004260264,60
"65",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0141638799226142,65
"70",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0152533510601422,70
"75",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0163428138254054,75
"80",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0174322682030077,80
"85",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0185217141765904,85
"90",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0196111517315551,90
"95",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0207005808533196,95
