"id","total"
"10",0.00217914907350372
"100",0.0217900015262832
"105",0.0228794137346324
"11",0.0239688174647475
"115",0.0250582126998984
"12",0.026147599424936
"125",0.0272369776235401
"13",0.0283263472816868
"135",0.0294157083840969
"14",0.0305050609145189
"145",0.0315944048569239
"15",0.0359524515224952
"20",0.00435826537056429
"25",0.00544781119118536
"30",0.00653734877278639
"35",0.00762687810207638
"40",0.00871639916282158
"45",0.00980591194095953
"5",0.0010895786267085
"50",0.0108954164199654
"55",0.0119849125875445
"60",0.0130744004260264
"65",0.0141638799226142
"70",0.0152533510601422
"75",0.0163428138254054
"80",0.0174322682030077
"85",0.0185217141765904
"90",0.0196111517315551
"95",0.0207005808533196
