"id","total"
"1",0.00901868532790634
"10",0.0904350350671268
"100",0.417792214744684
"11",0.0995118165554378
"12",0.108595378019843
"13",0.117685931247069
"14",0.126783700486085
"15",0.135888920674594
"16",0.145001840025746
"17",0.154122720278778
"18",0.163251837969127
"19",0.17238948664245
"2",0.0180424992536995
"20",0.181535976080725
"21",0.190691635469758
"22",0.199856814293738
"23",0.209031884527075
"24",0.218217241888619
"25",0.227413309981838
"26",0.236620540309382
"27",0.24583941652597
"28",0.2550704578583
"29",0.264314221608321
"3",0.027071575431235
"30",0.273571309425135
"31",0.282842369464235
"32",0.29212810306988
"33",0.301429271568726
"34",0.310746701775437
"35",0.320081296721838
"36",0.329434042670877
"37",0.338806022458804
"38",0.348198427714865
"39",0.357612575255608
"4",0.0361060542954635
"40",0.367049926343686
"41",0.376512108411437
"42",0.386000942900566
"43",0.395518478396142
"44",0.405067032002723
"45",0.414649240060164
"46",0.424268121128457
"47",0.433927156175806
"48",0.443630391067953
"49",0.453382570206112
"5",0.045146081321867
"50",0.463189308806534
"51",0.473057324572813
"52",0.482994751766806
"53",0.493011568521743
"54",0.50312020216209
"55",0.513336389992057
"56",0.523680445193278
"57",0.534179158788683
"58",0.544868737023965
"59",0.555799483826703
"6",0.0541918094878879
"60",0.567043476715861
"61",0.578707491769813
"62",0.590954953309254
"63",0.604041443585285
"64",0.618357371072523
"65",0.634391639993303
"66",0.652268922301375
"67",0.670849586736691
"68",0.688552219914303
"69",0.704967961494881
"7",0.0632433979573345
"70",0.720338083829388
"71",0.734931807586426
"72",0.748942681542415
"73",0.76250513329321
"74",0.775714727135298
"75",0.78864132411766
"76",0.801337268819368
"77",0.813842612868676
"78",0.826188525158594
"79",0.809271538603824
"8",0.0723010132336057
"80",0.762005798680143
"81",0.743031873450713
"82",0.72323443533445
"83",0.67202426721544
"84",0.650244666054667
"85",0.627670260678067
"86",0.60430784242334
"87",0.580162613885333
"88",0.587684922759433
"89",0.562358435249601
"9",0.081364831374313
"90",0.536259561252596
"91",0.542944943478261
"92",0.515686321262573
"93",0.487664672746979
"94",0.49354717779558
"95",0.464366105522222
"96",0.469834883783562
"97",0.439532726877368
"98",0.444600079670554
"99",0.449626464767857
