"stock.s_1","stock.s_2","stock.s_3","harvest.s_1","harvest.s_2","harvest.s_3","effort.t_1","effort.t_2","effort.t_3","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","mortality1","mortality2","mortality3"
41.18702102,48.61480592,48.61480592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361224274878307,0.40402166350456,0.204059431985
49.8587702163321,60.0824814571541,58.1669119398171,14.8777518023467,19.6414347587498,9.92030968209591,6.2834879377715,8.29538766897122,6.58802209227633,35995.4631636091,47520.7914966723,23998.952641879,24005.5406639713,47529.0868843412,36001.7466515469,0.361224274878307,0.40402166350456,0.204059431985
58.8557730143122,71.9879253891857,69.1747576051222,18.0101981177182,24.2746241058027,11.869507010761,6.2834879377715,8.29538766897167,6.58802209227679,43575.4752611217,58732.358356857,28715.694077867,28722.2820999593,58740.653744526,43581.7587490594,0.361224274878307,0.40402166350456,0.204059431985
67.6385266258212,83.432150096423,81.6886651596556,21.2601339294981,29.0846813679827,14.1157617446009,6.28348793777195,8.29538766897167,6.58802209227633,51439.7928867884,70371.9168891564,34151.2662608754,34157.8542829677,70380.2122768254,51446.0763747262,0.361224274878307,0.40402166350456,0.204059431985
75.6701852472805,93.5536817709943,95.6915976384738,24.4326777342486,33.7083960717173,16.6693426120917,6.2834879377715,8.29538766897076,6.58802209227633,59116.8344060284,81560.5566490043,40330.5178485475,40337.1058706397,81568.8520366733,59123.1178939662,0.361224274878307,0.40402166350456,0.204059431985
82.5462896274489,101.787101107061,111.079308839209,27.3339077958553,37.7977141360956,19.5267730598462,6.2834879377715,8.29538766897167,6.58802209227724,66137.3406655386,91456.0432041787,47245.0361454752,47251.6241675675,91464.3385918477,66143.6241534764,0.361224274878307,0.40402166350456,0.204059431985
88.0773360403864,107.987318092424,127.645970986265,29.8177236145691,41.1241939125841,22.6667806670147,6.2834879377715,8.29538766897167,6.58802209227633,72147.7721488986,99505.584811382,54843.3453429293,54849.9333650215,99513.880199051,72154.0556368363,0.361224274878307,0.40402166350456,0.204059431985
92.2882695065281,112.361930282338,145.080687187125,31.8156718444052,43.6292158931,26.0473643346338,6.28348793777241,8.29538766897167,6.58802209227724,76982.4828598355,105567.331767321,63023.8095926947,63030.397614787,105575.62715499,76988.7663477733,0.361224274878307,0.40402166350456,0.204059431985
95.3517930546931,115.296241445717,162.979645131215,33.3367632322636,45.3966539872563,29.6050826193932,6.28348793777059,8.29538766897167,6.58802209227542,80663.2773445835,109844.245331511,71632.910890196,71639.4989122883,109852.54071918,80669.5608325212,0.361224274878307,0.40402166350456,0.204059431985
97.5032136521313,117.193882648061,180.875872664831,34.4433823045219,46.5821792647247,33.2575338105915,6.28348793777059,8.29538766897167,6.58802209227633,83341.1160401403,112713.024247536,80471.2504585386,80477.8384806308,112721.319635205,83347.3995280781,0.361224274878307,0.40402166350456,0.204059431985
98.9751535295717,118.390927945859,198.28384973532,35.2205276497999,47.3488674200253,36.9094278357755,6.28348793777241,8.29538766897076,6.58802209227633,85221.6817468294,114568.285250312,89308.2417754817,89314.829797574,114576.580637981,85227.9652347672,0.361224274878307,0.40402166350456,0.204059431985
99.9637024739853,119.133842069902,214.751100497017,35.7522280646876,47.8324996525374,40.4616897487873,6.2834879377715,8.29538766897167,6.58802209227633,86508.3105255332,115738.596822835,97904.139538208,97910.7275603003,115746.892210504,86514.594013471,0.361224274878307,0.40402166350456,0.204059431985
100.619166480339,119.590169178867,229.905671707924,36.1093159403151,48.1326530527689,43.8219875855736,6.2834879377715,8.29538766897076,6.58802209227633,87372.4052759681,116464.919375819,106035.515367091,106042.103389183,116473.214763488,87378.6887639059,0.361224274878307,0.40402166350456,0.204059431985
101.050036427637,119.868662425681,243.488997901027,36.3460854507243,48.3170190904351,46.9144207788538,6.28348793777241,8.29538766897076,6.58802209227724,87945.3490944836,116911.055288515,113518.702198031,113525.290220123,116919.350676184,87951.6325824214,0.361224274878307,0.40402166350456,0.204059431985
101.331644770715,120.037951488227,255.368130257077,36.5017261349987,48.4295363952878,49.6862266062994,6.2834879377715,8.29538766897076,6.58802209227906,88321.9743103334,117183.32891944,120226.02279947,120232.610821562,117191.624307109,88328.2577982712,0.361224274878307,0.40402166350456,0.204059431985
101.515002253967,120.14060861344,265.527632171704,36.6034499045267,48.4979328439454,52.1102756073217,6.2834879377715,8.29538766896985,6.58802209227542,88568.1293361492,117348.837233407,126091.828276341,126098.416298434,117357.132621076,88574.412824087,0.361224274878307,0.40402166350456,0.204059431985
101.634091919636,120.202768170658,274.046739690683,36.6696830784527,48.5394085464444,54.1834177972708,6.28348793777059,8.29538766896985,6.58802209227542,88728.4028760825,117449.201707382,131108.496176622,131115.084198715,117457.497095051,88734.6863640203,0.361224274878307,0.40402166350456,0.204059431985
101.71131499101,120.240372473799,281.069714002744,36.7127011565846,48.5645223541597,55.9218220386124,6.2834879377715,8.29538766897076,6.58802209227542,88832.4996489631,117509.973049372,135315.152525392,135321.740547484,117518.268437041,88838.7831369008,0.361224274878307,0.40402166350456,0.204059431985
101.761337274683,120.263109383462,286.776579502775,36.7405960045455,48.5797153072697,57.3549261875925,6.2834879377715,8.29538766897076,6.58802209227724,88900.0006573487,117546.737532072,138783.032160857,138789.620182949,117555.032919741,88906.2841452865,0.361224274878307,0.40402166350456,0.204059431985
