"param","est","lo","hi","species"
"r",0.550254159121924,0.545504758804023,0.555044909772733,"Lutjanus synagris"
"k",2547.863351634,2462.72288948325,2635.94726240669,"Lutjanus synagris"
"msy",350.493101527734,333.524480780723,368.325029488001,"Lutjanus synagris"
"fmsy",0.275127079560962,0.272752379402011,0.277522454886366,"Lutjanus synagris"
"bmsy",1273.931675817,1231.36144474163,1317.97363120334,"Lutjanus synagris"
