"id","s1","s2","s3","s4","s5","total","fraction"
"1",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.8,0.00684187328807742,1
"10",0.7,0.7,0.833333333333333,0.866666666666667,0.775,0.0683366740582073,10
"11",0.7,0.7,0.833333333333333,0.866666666666667,0.775,0.0751592180497579,11
"12",0.7,0.7,0.833333333333333,0.866666666666667,0.775,0.0819794682902806,12
"13",0.666666666666667,0.7,0.833333333333333,0.866666666666667,0.766666666666667,0.0887973458916641,13
"14",0.666666666666667,0.666666666666667,0.833333333333333,0.866666666666667,0.758333333333333,0.0956127679824333,14
"15",0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.75,0.102425647464794,15
"16",0.633333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.741666666666667,0.109235892763751,16
"17",0.633333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.741666666666667,0.116043407556193,17
"18",0.633333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.741666666666667,0.12284809049047,18
"19",0.6,0.666666666666667,0.833333333333333,0.833333333333333,0.733333333333333,0.129649834888367,19
"2",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.8,0.0136820663309314,2
"20",0.6,0.666666666666667,0.8,0.833333333333333,0.725,0.136448528436134,20
"21",0.566666666666667,0.666666666666667,0.8,0.833333333333333,0.716666666666667,0.143244052859734,21
"22",0.566666666666667,0.666666666666667,0.8,0.833333333333333,0.716666666666667,0.150036283592955,22
"23",0.566666666666667,0.666666666666667,0.8,0.833333333333333,0.716666666666667,0.156825089431349,23
"24",0.533333333333333,0.666666666666667,0.8,0.833333333333333,0.708333333333333,0.163610332185372,24
"25",0.533333333333333,0.633333333333333,0.8,0.833333333333333,0.7,0.170391866325354,25
"26",0.5,0.633333333333333,0.8,0.833333333333333,0.691666666666667,0.177169538636784,26
"27",0.5,0.633333333333333,0.8,0.8,0.683333333333333,0.183943187879949,27
"28",0.466666666666667,0.633333333333333,0.8,0.8,0.675,0.190712644474553,28
"29",0.433333333333333,0.633333333333333,0.766666666666667,0.8,0.658333333333333,0.197477730212191,29
"3",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.8,0.0205205296045023,3
"30",0.433333333333333,0.633333333333333,0.766666666666667,0.8,0.658333333333333,0.204238258020778,30
"31",0.4,0.633333333333333,0.766666666666667,0.8,0.65,0.210994031790762,31
"32",0.366666666666667,0.633333333333333,0.766666666666667,0.8,0.641666666666667,0.21774484629671,32
"33",0.366666666666667,0.6,0.766666666666667,0.8,0.633333333333333,0.22449048723233,33
"34",0.333333333333333,0.6,0.766666666666667,0.8,0.625,0.231230731408192,34
"35",0.3,0.6,0.733333333333333,0.766666666666667,0.6,0.237965347140959,35
"36",0.266666666666667,0.6,0.733333333333333,0.766666666666667,0.591666666666667,0.2446940948965,36
"37",0.233333333333333,0.6,0.733333333333333,0.766666666666667,0.583333333333333,0.251416728237202,37
"38",0.2,0.6,0.733333333333333,0.766666666666667,0.575,0.258132995146436,38
"39",0.166666666666667,0.566666666666667,0.733333333333333,0.766666666666667,0.558333333333333,0.264842639798173,39
"4",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.8,0.027357211345354,4
"40",0.133333333333333,0.566666666666667,0.7,0.766666666666667,0.541666666666667,0.271545404850307,40
"41",0.1,0.566666666666667,0.7,0.733333333333333,0.525,0.278241034328362,41
"42",0.0666666666666667,0.566666666666667,0.7,0.733333333333333,0.516666666666667,0.284929277160971,42
"43",0.0333333333333333,0.566666666666667,0.7,0.733333333333333,0.508333333333333,0.291609891380528,43
"5",0.733333333333333,0.7,0.866666666666667,0.866666666666667,0.791666666666667,0.0341920574188777,5
"6",0.733333333333333,0.7,0.866666666666667,0.866666666666667,0.791666666666667,0.0410250111844088,6
"7",0.733333333333333,0.7,0.866666666666667,0.866666666666667,0.791666666666667,0.0478560133448009,7
"8",0.733333333333333,0.7,0.833333333333333,0.866666666666667,0.783333333333333,0.0546850017933132,8
"9",0.733333333333333,0.7,0.833333333333333,0.866666666666667,0.783333333333333,0.0615119114443902,9
