"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","stock.s_7","stock.s_8","stock_g.sg_1","stock_g.sg_2","stock_g.sg_3","stock_g.sg_4","stock_g.sg_5","stock_g.sg_6","stock_g.sg_7","stock_g.sg_8","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","harvest.s_7","harvest.s_8","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6","rev_per_sp.s_7","rev_per_sp.s_8"
3.455820206,164.47463508,182.88012728,187.14121916,123.06039156,47.66836826,16.325071152,54.54020946,3.455820206,164.47463508,182.88012728,187.14121916,123.06039156,47.66836826,16.325071152,54.54020946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.79913172672864,200.260217143933,216.163973851316,219.754903806064,161.808047018342,62.5908075828299,0,25.5953620176578,5.85581429408647,202.488125766659,218.641196021738,222.289845048713,163.474974610789,65.1735946495029,23.0030039738337,73.711610999019,5.05668256735783,2.22790862272578,2.47722217042234,2.53494124264926,1.66692759244719,2.58278706667304,23.0030039738337,48.1162489813613,14.595284371886,0,388348.556141321,0,24356.4271132279,7221.68773464748,8029.82886355917,8216.92321370644,5403.28739010937,4049.15530395553,108442.465119945,89840.6511483703
0,235.747127417991,247.572911909215,250.1449461096,204.074875085949,73.425824705138,0,0,1.46077312829494,244.026919709686,256.51024769144,259.230749493545,210.764855949566,83.7771316985441,0,35.7860682696736,1.46077312829494,8.27979229169592,8.93733578222432,9.0858033839446,6.68998086361772,10.3513069934061,0,35.7860682696736,44.5490941534322,0,269009.950903889,0,7036.07824978977,26838.6565896104,28970.0607738343,29451.3133025059,21685.3385859373,16228.2249884474,0,66818.2525332122
0,262.151271712334,268.411139795523,269.638789455872,240.865689231447,69.1156811659356,0,0,0,284.330498923714,291.702943707439,293.172571845111,260.065172475373,96.7474513337939,0,0,0,22.1792272113802,23.2918039119168,23.5337823892394,19.1994832439255,27.6317701678583,0,0,101.371090560976,0,329129.376375829,0,0,71893.1878455675,75499.5662356693,76283.9309909845,62234.4522812892,43319.6101128794,0,0
0,290.696295717878,291.161992634392,290.994323775851,279.860974493243,67.3356946303398,0,0,0,313.744410635619,314.760469783866,314.700734830302,301.037679259487,91.6420536667506,0,0,0,23.0481149177412,23.5984771494742,23.7064110544506,21.1767047662434,24.3063590364109,0,0,94.7321862336623,0,334701.817390923,0,0,74709.6568999115,76493.6367893812,76843.5007603582,68643.5465739263,38106.2085535794,0,0
0,321.313040434689,315.952121972522,314.362541301191,319.696947521098,67.5729898118096,0,0,0,344.992212448423,339.669228137997,338.065989708375,342.493509612099,89.5127680587355,0,0,0,23.6791720137335,23.7171061654748,23.7034484071847,22.796562091001,21.9397782469259,0,0,87.7689965149584,0,338669.770616546,0,0,76755.2063643297,76878.1685879865,76833.8974430571,73894.2573404267,34396.0098772611,0,0
0,353.728315218257,342.755210593423,339.750114816926,358.726101158767,69.4877772910208,0,0,0,377.871568709665,366.495648148061,363.371112310741,382.74792247666,89.7973343575872,0,0,0,24.1432534914075,23.7404375546383,23.6209974938145,24.0218213178931,20.3095570665664,0,0,80.9620620554424,0,341405.108891119,0,0,78259.510212795,76953.796468428,76566.6356964474,77865.8921974407,31840.2363780634,0,0
0,387.471653150557,371.39758678256,367.027345329668,395.294448007304,72.8396780346214,0,0,0,411.964589283522,395.130720719338,390.55239974394,420.133441966517,92.0856265157143,0,0,0,24.4929361329646,23.7331339367775,23.5250544142723,24.8389939592136,19.2459484810929,0,0,74.60795612834,0,343191.644357829,0,0,79392.9942425228,76930.1220470512,76255.6395659571,80514.7286846375,30172.7677737892,0,0
0,421.9076990411,401.571077374809,395.940505586234,428.054990398192,77.4372700207129,0,0,0,446.670161093676,425.30628116157,419.396416843444,453.317390082877,96.0573601638021,0,0,0,24.7624620525762,23.7352037867607,23.4559112572094,25.2623996846847,18.6200901430891,0,0,68.8601565330396,0,344244.902832602,0,0,80266.6530667554,76936.831393244,76031.5144451137,81887.1835097326,29191.5805742897,0,0
0,456.293264275933,432.853987704841,426.129404232201,456.196662000619,83.1025996613017,0,0,0,481.263398871693,456.620522126003,449.562699568768,481.530617149867,101.434747082885,0,0,0,24.9701345957601,23.7665344211616,23.4332953365671,25.333955149248,18.332147421583,0,0,63.7701665222967,0,344731.927880304,0,0,80939.8163386402,77038.3885468291,75958.2057308138,82119.1280411688,28740.1593893742,0,0
0,489.851890863419,464.740044613583,457.150418659209,479.505253164739,89.6470726166373,0,0,0,514.974581306713,488.572210441212,480.6123409567,504.622624859656,107.948989277628,0,0,0,25.1226904432937,23.8321658276286,23.4619222974916,25.1173716949166,18.3019166609904,0,0,59.3247897211536,0,344786.971039026,0,0,81434.3207728633,77251.1304511674,76050.9990215618,81417.0803619549,28692.7652212,0,0
0,521.853299418554,496.673701731831,488.504352481321,498.260660091273,96.8577770788063,0,0,0,547.074036142302,520.601518545036,512.04140636884,522.94868513167,115.320211538256,0,0,0,25.2207367237482,23.9278168132054,23.5370538875186,24.6880250403974,18.4624344594499,0,0,55.4762501882233,0,344522.157968992,0,0,81752.134355415,77561.1797693042,76294.5354380233,80025.368223491,28944.4164329465,0,0
0,551.683081658587,528.088984973463,519.667692422645,513.046808450242,104.494564985963,0,0,0,576.94694766798,552.133860927918,543.317075342796,537.168511941096,123.250803535431,0,0,0,25.2638660093934,24.0448759544554,23.649382920151,24.1217034908533,18.7562385494679,0,0,52.16335232551,0,344033.725525833,0,0,81891.9364235838,77940.6228739137,76658.6460612919,78189.6567617191,29405.0267576499,0,0
0,578.890554371398,558.448243487469,550.125181873646,524.562532778952,112.298020579122,0,0,0,604.144729224272,582.622360852645,573.913801112023,548.048070470916,131.431638355051,0,0,0,25.2541748528738,24.1741173651757,23.7886192383777,23.4855376919634,19.1336177759291,0,0,49.3239257815098,0,343404.938359745,0,0,81860.5228793037,78359.5543781446,77109.9757079831,76127.5476126865,29996.6617074085,0,0
0,603.208782194025,587.276835562335,579.401058604827,533.486320630239,120.006777922852,0,0,0,628.406414653554,611.584666258151,603.346607612162,556.319192583654,139.558960731074,0,0,0,25.1976324595296,24.3078306958162,23.9455490073356,22.8328719534158,19.5521828082212,0,0,46.900491265867,0,342706.801756759,0,0,81677.2426925238,78792.9814541008,77618.6580552412,74011.9544873283,30652.8655588313,0,0
0,624.547901527107,614.1900688734,607.085994814257,540.405007129672,127.380184645506,0,0,0,649.651491877502,638.630623350425,631.198785034082,562.606975081679,147.357348570574,0,0,0,25.1035903503949,24.4405544770252,24.1127902198251,22.201967952007,19.9771639250676,0,0,44.8417240472504,0,341997.561767237,0,0,81372.4084909991,79223.2009402483,78160.7645853939,71966.9012704836,31319.1282041589,0,0
0,642.968440588545,638.909747367188,632.85700843264,545.791480402892,134.220412024077,0,0,0,667.951668826378,663.47864053704,657.141723714448,567.40881608039,154.602306581407,0,0,0,24.983228237833,24.5688931698516,24.284715281808,21.6173356774978,20.3818945573299,0,0,43.1019501558312,0,341321.896395115,0,0,80982.2589206182,79639.2063160573,78718.0536495572,70071.8362352538,31953.6432237843,0,0
0,658.643835845803,661.2693161929,656.488499381327,550.010683928006,140.38811746363,0,0,0,683.491614604993,685.96024509003,680.945517703008,571.103019255208,161.136123082745,0,0,0,24.8477787591903,24.6909288971296,24.4570183216819,21.0923353272024,20.7480056191154,0,0,41.640125829389,0,340710.591362944,0,0,80543.2041817476,80034.780849897,79276.5679158098,68370.0659931584,32527.6125481603,0,0
0,671.820822072971,681.208422088355,677.853920052766,553.337573855746,145.808013722319,0,0,0,696.527941486106,706.014028806651,702.480188249348,573.969634624764,166.873025549608,0,0,0,24.7071194131357,24.8056067182955,24.6262681965827,20.6320607690179,21.0650118272888,0,0,40.419003381161,0,340181.233330712,0,0,80087.2618402152,80406.5049888955,79825.1854547851,66878.1021385226,33024.5979116752,0,0
0,682.783944143653,698.75921327374,696.919026941053,555.977282837342,150.464176316904,0,0,0,707.352924536902,723.671505087445,721.708642154043,576.213243909464,171.793394749158,0,0,0,24.5689803932489,24.9122918137047,24.7896152129897,20.2359610721222,21.3292184322533,0,0,39.4046788184232,0,339740.040173115,0,0,79639.4890476434,80752.3209874187,80354.6690847889,65594.1588483879,33438.8068836948,0,0
0,691.82748794301,714.027533869602,713.728781530706,558.082940890168,154.387936751009,0,0,0,716.266230998649,739.03807639543,738.673458651606,577.982919611952,175.930062251177,0,0,0,24.4387430556389,25.0105425258278,24.9446771209003,19.8999787217834,21.5421255001685,0,0,38.5664517057667,0,339384.531902114,0,0,79217.3292812967,81070.7972280608,80857.296825912,64505.0838309064,33772.591187644,0,0
