"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
486.67455096,453.18756258,NA,NA,NA,NA,NA,NA,NA,NA
448.22987330986,486.70625338131,85.4755805534377,19.8985494968231,2.50896279421431,0,229143.840313934,0,185875.007715717,43271.3415610116
413.801682243569,515.21208767082,82.8764684523104,22.4976615973087,2.64132132437953,0,229143.707954009,0,180222.984310634,48923.3649646988
382.411472454695,538.459421609768,80.3605125375734,25.0136175122303,2.77422221367306,0,229143.575053521,0,174751.792163869,54394.5571118651
353.30382493477,556.578774070451,77.9385379620757,27.43559208769,2.91146880135057,0,229143.43780685,0,169484.971628775,59661.3776468762
325.880992519893,569.958009776299,75.5999493359746,29.7741807140517,3.05677845735045,0,229143.292497761,0,164399.481994123,64746.8672820956
299.663643254716,579.116406195248,73.3168000686657,32.0573299812059,3.21392153920169,0,229143.135354343,0,159434.550666024,69711.7986098578
274.265872277724,584.599143075983,71.0480617309086,34.3260683191558,3.38695150102285,0,229142.9623248,0,154500.957313337,74645.3919629645
249.379103279688,586.902985360458,68.7427477949337,36.6313822550601,3.58051845203227,0,229142.768757696,0,149487.826745963,79658.5225301851
224.762848448708,586.431291211144,66.3412880375348,39.03284201246,3.80027162533952,0,229142.549004525,0,144265.617688764,84880.7315873863
200.242078367089,583.470302664447,63.7750671302597,41.5990629197311,4.05337883864922,0,229142.295897302,0,138685.119400814,90461.2298753275
175.712045015928,578.177481581985,60.9643054864808,44.4098245635183,4.34921708201728,0,229142.000059077,0,132572.843370143,96573.5059060164
151.152226215119,570.574028562111,57.814622510145,47.5595075397599,4.70031495542207,0,229141.648960999,0,125723.549762099,103422.799513855
126.651649033788,560.535997370874,54.2129528232291,51.1611772268176,5.12364832872845,0,229141.225627934,0,117891.366856639,111254.982419624
102.447666434378,547.781169792285,50.0244571528281,55.3496728972411,5.64238003993523,0,229140.706896272,0,108783.073470245,120363.275806067
78.9776188734232,531.853096453831,45.0946163511262,60.2795136989607,6.28801291133277,0,229140.061263439,0,98062.6526071107,131083.696669239
56.9336484883343,512.11237995121,39.2665978251675,66.1075322248236,7.10248029028298,0,229139.246795852,0,85389.056458762,143757.29281738
37.2874301227208,487.763685691874,32.4355377926227,72.9385922573963,8.13847223463745,0,229138.210803968,0,70534.2484769434,158612.100799259
21.2056298645589,457.978712945633,24.6760732611731,80.6980567888354,9.45375617818354,0,229136.895520002,0,53660.5341328643,175485.815143315
9.72821359143492,422.197116314248,16.4666153192883,88.9075147307147,11.0928709857581,0,229135.256405182,0,35808.2651174383,193338.084158729
3.15782245173966,380.584432361208,8.89247334398852,96.4816567059993,13.0581085178092,0,229133.291167617,0,19337.5527925466,209808.796483588
0.532821935783373,334.234854748659,3.38493880426588,101.989191245729,15.3127753846848,0,229131.036500765,0,7360.88040919244,221785.468866957
0,284.435784089742,0.667672991601596,104.706457058387,17.9008029299985,0,229128.448473207,0,1451.92020530279,227694.429070835
0,231.314299911849,0,105.374130049998,21.1690102488128,0,229125.180265908,0,0,229146.349276156
0,173.227969354628,0,105.374130050001,26.0304876560576,0,229120.318788506,0,0,229146.349276162
0,107.192619688783,0,105.374130049999,34.7589598317027,0,229111.590316328,0,0,229146.349276159
0,28.9227174708819,0,105.37413005,56.1720018225758,0,229090.177274339,0,0,229146.349276162
0,0,0,105.37413005,208.183205281,0,228938.16607088,0,0,229146.349276161
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
