"stock.s_1","stock.s_2","stock_g.sg_1","stock_g.sg_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
486.67455096,453.18756258,486.67455096,453.18756258,NA,NA,NA,NA,NA,NA,NA,NA
529.431674835588,505.609875403283,533.705453863298,506.604802878133,4.27377902770907,0.994927474849809,0.125448139711807,0,11457.1920157964,0,9293.7503858667,2163.5670780694
569.598851072007,553.850004966349,573.852091204232,554.86547133635,4.25324013222552,1.01546637000089,0.114762706311012,0,11457.2027005068,0,9249.08654934453,2208.23091386859
606.336415923393,596.35117173244,610.574818644222,597.381475514258,4.23840272082848,1.03030378181779,0.106297711317893,0,11457.2111664148,0,9216.82114745957,2240.49631666657
639.091627045174,632.295078317766,643.320520653034,633.33489121205,4.22889360786028,1.03981289428451,0.0996331601927523,0,11457.2178298754,0,9196.14265150916,2261.17481152647
667.6146570179,661.596466286918,671.838606295621,662.641223511272,4.22394927772118,1.04475722435464,0.0944161669976893,0,11457.2230467187,0,9185.39072216508,2271.92674072057
691.928802131029,684.739693578307,696.15138017974,685.78582203212,4.22257804871084,1.04612845381293,0.0903530092837173,0,11457.2271108505,0,9182.40885060331,2274.90861325644
712.270151554415,702.547720827123,716.49389364172,703.592685242184,4.22374208730497,1.0449644150609,0.0872020673414227,0,11457.2302614491,0,9184.94016634596,2272.37729717044
729.01549763695,715.967824058092,733.242001114505,717.010027083574,4.22650347755457,1.04220302548183,0.084767091932008,0,11457.2326978826,0,9190.94507945245,2266.37238552206
742.614248566471,725.919216409989,746.844355561865,726.957815916483,4.23010699539397,1.0385995064944,0.0828906204551458,0,11457.2345718576,0,9198.7812813462,2258.53618113182
753.533802371699,733.208945735084,757.767804849767,734.243649759077,4.23400247806793,1.03470402399253,0.0814476632513106,0,11457.236015189,0,9207.25238932102,2250.06507353122
762.221569937798,738.500854139395,766.459396268596,739.531734310537,4.23782633079802,1.03088017114184,0.0803398866992211,0,11457.2371227033,0,9215.56773097893,2241.74973161107
769.082461417102,742.317249798004,773.323825279707,743.344592438101,4.24136386260527,1.02734264009704,0.0794904756912729,0,11457.2379737723,0,9223.26043979364,2234.05702445437
774.468510274583,745.056573230948,778.713018502052,746.080771505267,4.2445082274685,1.02419827431889,0.0788397558935685,0,11457.2386225025,0,9230.09816864474,2227.21929361369
778.676859353588,747.016251465444,782.924083853678,748.037733467295,4.24722450008999,1.02148200185135,0.0783415666519431,0,11457.2391210266,0,9236.00496905731,2221.3124935359
781.952820312271,748.414942729725,786.202342184522,749.434127358992,4.24952187225035,1.01918462926727,0.0779603174887598,0,11457.2395013543,0,9241.00082945705,2216.31663221473
784.495543595512,749.411677585664,788.746977500203,750.428950183544,4.25143390469136,1.0172725978793,0.0776686363242334,0,11457.2397953254,0,9245.15873095857,2212.15873300316
786.464650968458,750.121247864743,790.717656367455,751.136948967953,4.25300539899607,1.01570110321012,0.0774455114005832,0,11457.2400176577,0,9248.57609898486,2208.74136418427
787.986837082238,750.626074933133,792.241121310562,751.640497207477,4.25428422832352,1.01442227434489,0.0772748362069251,0,11457.2401893381,0,9251.35703840134,2205.96042577296
789.161911377388,750.985119852802,793.417227970764,751.998509762188,4.25531659337579,1.01338990938617,0.0771442769328132,0,11457.2403201008,0,9253.60201715216,2203.71544722557
790.06805247721,751.240453784018,794.324197035757,752.253015728212,4.25614455854725,1.01256194419374,0.0770443956716917,0,11457.2404199364,0,9255.40250837592,2201.91495595618
790.766226052309,751.422044338364,795.023031059696,752.433945832507,4.25680500738692,1.01190149414204,0.0769679739605635,0,11457.2404937225,0,9256.83871895647,2200.47874273996
791.303813322913,751.551213238511,795.56114277702,752.562590287167,4.25732945410724,1.01137704865608,0.0769094925781246,0,11457.2405548881,0,9257.97917963021,2199.33828475045
791.717541698815,751.643119743224,795.975286009968,752.654081934529,4.2577443111526,1.01096219130444,0.0768647320364835,0,11457.2405989826,0,9258.88132684007,2198.43613687457
792.03582293721,751.708537228367,796.29389434649,752.719172320844,4.25807140928062,1.01063509247709,0.0768304667726625,0,11457.2406317271,0,9259.5926337031,2197.72482849078
792.28060175356,751.755120623052,796.53893034435,752.765498534331,4.25832859079041,1.0103779112786,0.0768042308773147,0,11457.24065864,0,9260.15190004335,2197.16556282748
792.46880748291,751.788308920585,796.727337791787,752.798485114686,4.25853030887724,1.01017619410157,0.0767841389606474,0,11457.2406807103,0,9260.59055574717,2196.72690910212
792.613488198643,751.811967026744,796.872176386721,752.821985341231,4.25868818807732,1.01001831448747,0.0767687492625555,0,11457.2406951997,0,9260.93387950516,2196.3835844438
792.72469330789,751.828841855958,796.983504834692,752.838736831432,4.25881152680188,1.00989497547443,0.0767569591262145,0,11457.2407063625,0,9261.20209162178,2196.11537169985
792.81015838218,751.840886271699,797.069066105982,752.850685049992,4.25890772380222,1.00979877829264,0.0767479250207543,0,11457.240715002,0,9261.41128140516,2195.90618152189
792.875835330051,751.849489100271,797.134817974045,752.859212959623,4.25898264399393,1.00972385935152,0.0767410015396308,0,11457.240724645,0,9261.57420268774,2195.74326295884
