"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
1631.3743,32.726,NA,NA,NA,NA,NA,NA,NA,NA
1992.41590448458,43.1903611154076,30.4882275154153,0.125772484592373,5.18649448247288,0,79206.1753636779,0,78970.6069104288,240.754947731567
2413.66093514092,55.9136341047582,30.4781344441746,0.135865555818955,4.24525459303368,0,79200.2937883123,0,78944.4638373011,260.075205604201
2893.0258958428,70.6571251884104,30.46885178453,0.145148215487571,3.50328271737271,0,79194.7607751407,0,78920.4198922896,277.844165568464
3422.64879676988,86.7434547420327,30.4610103327049,0.152989667313131,2.92204797984596,0,79190.0412668599,0,78900.1089637722,292.854351067469
3988.14192044472,103.071766371723,30.4552729200292,0.158727079941765,2.46942316485001,0,79186.61545799,0,78885.2479174595,303.836963695327
4569.15527197533,118.340012551591,30.4521542538911,0.16184574615483,2.11905767099233,0,79184.8576365048,0,78877.1699484287,309.806745747037
5141.61227964064,131.427015367967,30.4518104139203,0.162189586095434,1.84957761419355,0,79184.8946841219,0,78876.2793341363,310.46492759974
5681.35100848466,141.729454869466,30.4539179458384,0.160082054169484,1.64376303207246,0,79186.5251691904,0,78881.7382633107,306.430668911768
6168.16146034164,149.246300809934,30.4577498424721,0.156250157618844,1.48778971911452,0,79189.2714664677,0,78891.6636419713,299.095614215567
6588.85305727108,154.401490058061,30.4624253846976,0.151574615250783,1.37057909964642,0,79192.5492966033,0,78903.7742314437,290.145644259201
6938.36402709388,157.77706905388,30.4671790385113,0.146820961448399,1.28326923435088,0,79195.8500289316,0,78916.0871455518,281.046152614141
7218.83704443122,159.917401976242,30.471506556054,0.142493443993289,1.21879932512456,0,79198.8398575924,0,78927.2962814912,272.762375426393
7437.41022307853,161.246243056331,30.4751682641053,0.138831735739387,1.17158616289089,0,79201.3623483923,0,78936.7808376854,265.753096869691
7603.73287823742,162.060541304825,30.4781154337843,0.135884566040681,1.13726515551389,0,79203.3889265933,0,78944.4145965881,260.111595160731
7727.94112870507,162.555704710844,30.4804064954693,0.133593504351636,1.11247244563128,0,79204.962454084,0,78950.3489045647,255.726021964946
7819.37148422294,162.855548698509,30.4821445508477,0.131855449134958,1.09465451617871,0,79206.1551803783,0,78954.8508156058,252.399019288628
7885.94871222744,163.036771971037,30.4834403887132,0.130559611235694,1.08190092978475,0,79207.0439073387,0,78958.207294845,249.918513423477
7934.04162063053,163.146257274716,30.4843945254237,0.12960547476525,1.07280054442526,0,79207.6979950584,0,78960.6786997524,248.09209585039
7968.57930995833,163.212443421572,30.4850906891769,0.12890931066191,1.06632201797765,0,79208.1750726501,0,78962.4819031059,246.759491562135
7993.27741782334,163.252509266019,30.4855952174539,0.128404782609238,1.06171789971268,0,79208.5207332678,0,78963.7887322491,245.793718918429
8010.88537138215,163.276811022432,30.4859590185435,0.128040981543546,1.05844997098757,0,79208.7699271409,0,78964.7310498315,245.097327280472
8023.41116154825,163.291587934849,30.486220339499,0.127779660601283,1.05613254724449,0,79208.9488949426,0,78965.4079233702,244.597104119582
8032.3077639189,163.300600004088,30.4864074937763,0.127592506288975,1.05449023386609,0,79209.077051609,0,78965.8926903794,244.238851463418
8038.61967898308,163.30611529759,30.4865412224052,0.127458777669887,1.05332689848001,0,79209.1686141789,0,78966.2390742739,243.982866803475
8043.09429249307,163.309503942396,30.4866366029545,0.127363397047728,1.05250312025601,0,79209.2339141151,0,78966.4861289726,243.800288262732
8046.26463925534,163.311595209333,30.4867045342251,0.127295465983819,1.05191992525943,0,79209.2804185654,0,78966.6620845498,243.670253940886
8048.50999719846,163.312892186859,30.4867528594903,0.127247140843342,1.05150712008617,0,79209.3134990055,0,78966.7872566519,243.577749473733
8050.09979616809,163.313700920114,30.4867872047258,0.127212795273334,1.05121495689673,0,79209.337007564,0,78966.8762176807,243.512004840168
8051.22521008959,163.314208178504,30.4868115961057,0.127188403857429,1.05100819531799,0,79209.3537025856,0,78966.9393962329,243.465314547929
8052.02177479738,163.314528354896,30.4868289074854,0.127171092454924,1.05086188032146,0,79209.3655511765,0,78966.9842361686,243.43217688814
