"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
1631.3743,32.726,NA,NA,NA,NA,NA,NA,NA,NA
1741.09318116602,42.1535844339717,281.810950833978,1.16254916602834,47.9401743135722,0,732124.147914958,0,729946.724850169,2225.36323910312
1870.35805499592,53.4101843605193,281.571604939984,1.40189506001269,44.8809665797035,0,731965.411691794,0,729326.771115547,2683.5215428269
2021.48293030504,66.3107187861008,281.321475955708,1.65202404429286,41.7420229780564,0,731799.465943323,0,728678.887020475,3162.32094582584
2196.55770997875,80.3674991810861,281.077432522851,1.89606747714578,38.5879102111612,0,731637.649135904,0,728046.765720688,3629.47132542722
2397.21192586968,94.796194944672,280.860291577912,2.11320842207939,35.4848590364727,0,731493.967079699,0,727484.327245107,4045.1246936286
2624.33057819779,108.64412648,280.690914859064,2.28258514092917,32.4950557438333,0,731382.459914822,0,727045.607667947,4369.34730261802
2877.74525219339,121.023106430569,280.584776022083,2.38872397790451,29.6715970484074,0,731313.534581094,0,726770.686852398,4572.51932574459
3155.94091906247,131.343729324691,280.547246833365,2.42625316662294,27.0550926120268,0,731290.781729251,0,726673.478747782,4644.3580740813
3455.83539876669,139.425401819576,280.572239200384,2.40126079960116,24.6723884279418,0,731310.059023612,0,726738.213976836,4596.51743520455
3772.69906372724,145.439470398338,280.645084669345,2.32841533065013,22.5371892315925,0,731361.43703139,0,726926.898310538,4457.07591008378
4100.27869971024,149.753883303053,280.747830456002,2.22566954394528,20.6518805503219,0,731432.7774643,0,727193.030447135,4260.39889771549
4431.16249241411,152.781311558203,280.864022095932,2.10947790408793,19.009823894532,0,731512.963907774,0,727493.990032884,4037.98369878416
4757.37072819486,154.886410601496,280.981249013656,1.99225098634273,17.5976640504778,0,731593.620291688,0,727797.631195171,3813.58676056712
5071.09125107055,156.35225334521,281.091549213289,1.8819507867064,16.397443869424,0,731669.382343814,0,728083.330772262,3602.44901542126
5365.42542880179,157.382306756274,281.190637992738,1.7828620072587,15.3884469444638,0,731737.374364759,0,728339.990528789,3412.77228291468
5634.99567276475,158.116326242694,281.276820387718,1.69667961232154,14.5487318947635,0,731796.472517074,0,728563.220168267,3247.80108070202
5876.30041445265,158.647985838071,281.350030073087,1.62346992681417,13.8563466240885,0,731846.653917293,0,728752.84789531,3107.66236860696
6087.77387948386,159.039475837131,281.411122467465,1.56237753249064,13.2902340183573,0,731888.517877678,0,728911.089415228,2990.71869646891
6269.58562331195,159.332153552711,281.461403785441,1.51209621448875,12.8308579330333,0,731922.966921852,0,729041.328085048,2894.46969473652
6423.26853087282,159.553807340442,281.502337158132,1.47116284197951,12.4605877210233,0,731951.007743017,0,729147.353706993,2816.11462374559
6551.27978922801,159.723423243982,281.53536978363,1.43813021622114,12.1638833088,0,731973.634171444,0,729232.91481356,2752.88324119267
6656.5824677287,159.854245909375,281.561839024171,1.41166097581894,11.9273236903864,0,731991.76367324,0,729301.475440408,2702.21555652236
6742.30204005794,159.95572470691,281.582928466905,1.39057153315908,11.7395206576148,0,732006.207728808,0,729356.101314977,2661.84593448845
6811.47858273594,160.034750402749,281.599654626488,1.37384537342895,11.5909564389112,0,732017.663009362,0,729399.425413529,2629.82855227143
6866.91092669747,160.096447236563,281.61287152245,1.36062847753714,11.4737786013757,0,732026.714676836,0,729433.659817451,2604.52863798636
6911.07594281409,160.144688238618,281.623284795805,1.3502152041157,11.3815786951927,0,732033.84614527,0,729460.632278095,2584.59544587032
6946.10219031014,160.182438031868,281.63147004672,1.34202995325611,11.3091737564828,0,732039.451698081,0,729481.833715015,2568.92715682237
6973.77874627756,160.211987083104,281.637892126944,1.33560787288825,11.2524029736669,0,732043.849730599,0,729498.468187211,2556.63394636141
6995.58404186684,160.235116448944,281.642923527,1.33057647295818,11.2079462373185,0,732047.2953637,0,729511.500519636,2547.00279030127
7012.72394044818,160.253216904615,281.646860906154,1.32663909379265,11.1731671716916,0,732049.991771678,0,729521.699119121,2539.46581972882
