"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
1631.3743,32.726,NA,NA,NA,NA,NA,NA,NA,NA
1396.65757459117,40.7326910088259,626.246557408833,2.58344259117407,106.533720696826,0,1626942.55092211,0,1622103.83300036,4945.25164245132
1118.83107868208,49.3586746428476,625.081101481051,3.74889851894402,124.205774597779,0,1626137.04231557,0,1619085.06905622,7176.17903394783
785.264905603235,57.6480909344111,623.176412362049,5.65358763794917,154.575921749799,0,1624819.12137087,0,1614151.54330018,10822.1539924387
378.687149074348,63.3993144674743,619.477909111645,9.35209088835523,218.929857790384,0,1622254.61622259,0,1604571.68018098,17901.8658993985
0,58.1789188346348,607.900882213961,20.9291177860388,445.499854116736,0,1614202.0918137,0,1574584.8651106,40062.7265572132
0,71.5661561747431,0,1.77880550883359,41.2614062597505,0,3363.7458868046,0,0,3405.00729306435
0,85.1619671233472,0,2.6916126259959,50.7558459923959,0,5101.55595881522,0,0,5152.31180480762
0,97.8699233936088,0,3.81143521413875,60.3982094157457,0,7235.48919184079,0,0,7295.88740125653
0,108.746015887357,0,5.03379667938222,69.4108923067563,0,9566.33304933347,0,0,9635.74394164023
0,117.28542585072,0,6.21475314271282,77.1243885334345,0,11819.2182247789,0,0,11896.3426133123
0,123.493191708201,0,7.22911729355967,83.1806726785281,0,13754.8679418263,0,0,13838.0486145048
0,127.731538874001,0,8.01462494138107,87.5833180721108,0,15254.091890969,0,0,15341.6752090411
0,130.492551824276,0,8.574197088872,90.5892206873689,0,16322.2245888023,0,0,16412.8138094897
0,132.233246710422,0,8.94887869533827,92.5473745910803,0,17037.4857128124,0,0,17130.0330874035
0,133.307187539999,0,9.1892167531718,93.7819028413505,0,17496.3086982476,0,0,17590.090601089
0,133.960706218968,0,9.33908450352389,94.5435586052547,0,17782.4253888852,0,0,17876.9689474905
0,134.355003926488,0,9.43087589839432,95.0070443532094,0,17957.6699091122,0,0,18052.6769534654
0,134.591663315623,0,9.48647496836399,95.2866865023442,0,18063.8185626897,0,0,18159.105249192
0,134.733259821486,0,9.51992427187916,95.4545290713694,0,18127.6797114024,0,0,18223.1342404738
0,134.817818372566,0,9.53996558873156,95.5549515451864,0,18165.9425780607,0,0,18261.4975296058
0,134.868257694502,0,9.55194390509442,95.6149218024331,0,18188.8116207684,0,0,18284.4265425708
0,134.898324426197,0,9.55909256995416,95.6506941645798,0,18202.4598941674,0,0,18298.110588332
0,134.916239860891,0,9.56335514015826,95.6720179646127,0,18210.5980248777,0,0,18306.2700428423
0,134.926912298732,0,9.56589546884239,95.6847238732829,0,18215.4480415395,0,0,18311.1327654128
0,134.933269082508,0,9.56740893323797,95.6922929344194,0,18218.337561159,0,0,18314.0298540935
0,134.937055025091,0,9.56831044919958,95.6968012656701,0,18220.0587436967,0,0,18315.7555449623
0,134.939309723385,0,9.56884738990251,95.6994863158243,0,18221.0838759095,0,0,18316.7833622253
0,134.940652456329,0,9.56916716928603,95.7010853833931,0,18221.6944017356,0,0,18317.395487119
0,134.941452075115,0,9.5693576089727,95.7020376707613,0,18222.0579910009,0,0,18317.7600286716
0,134.941928255662,0,9.56947101972988,95.7026047730079,0,18222.2745159041,0,0,18317.9771206771
