"stock.s_1","stock.s_2","stock.s_3","stock.s_4","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4"
409.1663008,879.1406916,462.146366,381.62581228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383.216108746878,1094.19974715098,485.277995491908,349.467129731335,74.415318122772,34.1069393049017,20.250865942565,84.0508342001512,1.39673637588567,0,202603.640338471,0,73055.7688198493,17900.7474377395,29133.2743956654,82515.2464215925
360.02083152537,1310.79911359688,507.800193564993,321.793297920423,70.5058534239955,42.9437443260877,21.5116432820741,77.8627165377755,1.41297141514951,0,199142.224567183,0,69217.729066099,22538.6720966099,30947.0522502979,76440.1841255918
339.549100554652,1509.02774193375,529.719718314595,298.11015093209,66.5303268439234,51.6713783547481,22.6092658142307,72.0129865566895,1.41920125082834,0,195656.15421983,0,65314.8343651484,27119.2992551898,32526.1125484045,70697.3272523377
321.496459236149,1672.86181147225,550.980577710432,277.755122570645,62.8337393095785,59.5675072934633,23.6177234132668,66.8049875513553,1.42115772583929,0,192509.25478703,0,61685.7825631271,31263.5177851549,33976.8985065179,65584.4770899559
305.387265098069,1795.42774813811,571.45213853496,259.990164601949,59.6295335365749,66.1861571492567,24.6219859530275,62.3862809305685,1.42441709330888,0,189944.102817409,0,58540.1168304674,34737.2618930105,35421.6493739187,61246.4991371055
290.709753250013,1879.27089660148,590.95367621813,244.123567107819,56.9666118680914,71.4429339985192,25.6833045283099,58.7311071737822,1.43258838749898,0,188027.238222387,0,55925.8460767343,37496.2381199298,36948.4821208547,57658.1044932553
277.018273600362,1932.41680695498,609.294262499235,229.593292600883,54.7715574435563,75.5277865489395,26.8256650687917,55.6989485078537,1.44692975200451,0,186682.833271197,0,53770.894749089,39640.1394876779,38591.9033542491,54681.342609933
263.975959094641,1963.91044373806,626.305233617479,215.98999669654,52.9196314045588,78.7464672670807,28.0438123286123,53.1140465687865,1.46710214169434,0,185768.792469918,0,51952.8029369536,41329.4376713436,40344.3527791445,52143.6661846179
251.351268688854,1981.25808182236,641.856320174733,203.037627409576,51.2889833976564,81.396039793967,29.3188766751196,50.8200577035977,1.49214721749013,0,185140.770515469,0,50351.9464624536,42720.0440871749,42178.6841891831,49891.5879238753
238.994563564356,1989.77771407824,655.858504348258,190.559113856079,49.7842794842625,83.7093706519419,30.6302497348962,48.7000576993752,1.52111869263172,0,184682.958599683,0,48874.7331142843,43934.176820058,44065.2499930312,47810.319791002
226.813084211184,1992.91072846126,668.259948715752,178.444683811214,48.3390128672738,85.8491894210256,31.9610825607548,46.6746727197729,1.55332279009599,0,184313.310061,0,47455.8711579385,45057.2431557815,45979.8109802236,45821.938089846
214.75162810003,1992.76854928325,679.039593769986,166.62868775222,46.9092713670745,87.9225568931275,33.2994904074597,44.6926389025768,1.58833659431548,0,183977.480485135,0,46052.2506783703,46145.433073145,47905.2695340432,43876.1155361708
202.779733267032,1990.60543316138,688.200673510228,155.074557884145,45.4664646667275,89.998125242294,34.6378869548508,42.7214807055462,1.62594810406154,0,183640.63759154,0,44635.8036966026,47234.7781027899,49830.7118324587,41940.9699077931
190.883911659216,1987.1507459487,695.764972048523,143.765682934532,43.9916659683769,92.1197876088674,35.9718295011999,40.7406744911056,1.66608755537891,0,183280.6973652,0,43187.9492026562,48348.3151995275,51749.7465216942,39996.3525288773
179.063246899789,1982.82152527094,701.76802267994,132.700071386805,42.4718762456864,94.3158788954703,37.2989196449044,38.7372827849774,1.70877184499841,0,182883.618097922,0,41695.9256591636,49500.9157046702,53658.923216359,38029.5622895742
