"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock_g.sg_1","stock_g.sg_2","stock_g.sg_3","stock_g.sg_4","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4"
409.1663008,879.1406916,462.146366,381.62581228,409.1663008,879.1406916,462.146366,381.62581228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448.875074106748,775.513773217255,465.968259209951,425.350990675822,457.63142686965,1128.30668645588,505.528861434473,433.517963931486,8.75635276290178,352.792913238622,39.5606022245226,8.1669732556641,3.08186371342163,0,258684.149096587,0,8596.37638175794,185160.467823078,56912.6220643386,8017.76469112625
487.972233053878,668.156076274587,465.323080062196,468.696545403194,498.603708219785,1012.58184258227,509.468365955326,478.770859516453,10.6314751659063,344.42576630768,44.1452858931303,10.0743141132587,3.41081431388011,0,264601.361935115,0,10437.2407661151,180769.039361958,63508.2337144129,9890.25890694342
525.33690653128,553.695861262913,459.166136495299,510.235030961298,538.350289961153,887.822511727833,508.803610215504,522.734364825885,13.013383429873,334.12665046492,49.6374737202049,12.4993338645873,3.84047686826671,0,271815.79650932,0,12775.632160147,175363.632858456,71409.3978153704,12270.9741522152
559.563216585461,428.762947094658,445.742813790797,548.272772360315,575.78423736957,749.352690883293,502.454176076974,564.02748698079,16.2210207841088,320.589743788636,56.7113622861778,15.7547146204753,4.44662295901435,0,281232.024628399,0,15924.6667799057,168258.89838392,81586.0261739473,15466.879913585
588.649640195379,290.747837091056,421.816601858787,580.592803472868,609.601116490025,591.785475274181,488.575595641014,601.121536693044,20.9514762946453,301.037638183125,66.7589937822265,20.5287332201762,5.39206985045166,0,294754.857149479,0,20568.6980480403,157997.136072403,96040.7367147768,20153.6783841096
608.987276929808,141.354061215608,380.602068592038,603.499537553878,637.98419294833,409.919114081922,463.716905421243,632.099573319929,28.9969160185218,268.565052866314,83.1148368292047,28.600035766051,7.09389842239034,0,317062.30021003,0,28467.1495946943,140954.165924591,119570.558343713,28077.5202454542
611.355480886617,2.39475631932325,304.835700144702,607.891146721834,657.63605037767,203.830642935646,420.532562019334,653.754670220043,46.2805694910523,201.435886616323,115.696861874632,45.8635234982084,10.9441115915506,0,362615.341509429,0,45435.0350288248,105721.973437168,166443.668792769,45025.6083622589
559.163402965124,0,138.998651125584,557.698141567406,659.914021617671,3.52472656039828,339.944805209217,657.877842282299,100.750618652547,3.52472656039828,200.946154083634,100.179700714893,23.7325251166985,0,490204.557056812,0,98909.9299769693,1849.92383458208,289084.894555904,98349.4425676496
472.405159397221,0,22.1008562154103,473.761754716225,609.208695699863,0,158.129112322576,610.206803786418,136.803536302641,0,136.028256107166,136.445049070193,35.232918743819,0,463913.961639627,0,134304.169813194,0,195692.792692102,133952.232053075
335.71147689537,0,0,340.393013871733,522.595331421967,0,25.492457442316,527.813538579011,186.883854526597,0,25.492457442316,187.420524707278,56.9701271153335,0,417720.999552049,0,183469.533113229,0,36673.9259344851,183996.398463555
177.013644393648,0,0,183.957023027103,380.235091357313,0,0,390.012417543437,203.221446963665,0,0,206.055394516334,87.1752874938766,0,401712.28037231,0,199508.641811068,0,0,202290.813848736
5.20933421080704,0,0,9.03368465656314,205.911473788953,0,0,217.608386558417,200.702139578146,0,0,208.574701901854,163.280866502714,0,401636.174793302,0,197035.361543167,0,0,204764.094116638
4.47632389249781,0,0,8.01614824279674,6.23249315825507,0,0,11.0615814418199,1.75616926575725,0,0,3.04543319902319,48.5483181236413,0,4665.33006714492,0,1724.08449126048,0,0,2989.79389400808
4.03256094353503,0,0,7.44730294525941,5.35614642411839,0,0,9.81756427557818,1.32358548058336,0,0,2.37026133031877,42.5814581180139,0,3583.77969279432,0,1299.40390395532,0,0,2326.95724695702
3.72978663710108,0,0,7.09832416221172,4.82550712006747,0,0,9.12189243414545,1.09572048296639,0,0,2.02356827193374,39.1299126455626,0,3023.17021465315,0,1075.70194301528,0,0,1986.59818428343
3.50750055259511,0,0,6.87578860443845,4.46341446316418,0,0,8.69503122300833,0.955913910569069,0,0,1.81924261856988,36.9083670153234,0,2687.5467444603,0,938.449601827902,0,0,1786.00550964772
3.33554148788356,0,0,6.7329850855911,4.19755643910044,0,0,8.42280166282508,0.862014951216876,0,0,1.68981657723398,35.3921615817178,0,2469.81804127113,0,846.266153044673,0,0,1658.94404980817
3.19697389560895,0,0,6.64353762121366,3.99187732254691,0,0,8.24809656239309,0.794903426937952,0,0,1.60455894117942,34.3192714744776,0,2321.30551760331,0,780.380739576711,0,0,1575.24404950108
3.08150207629895,0,0,6.59127423210782,3.82612922432374,0,0,8.13866205359562,0.74462714802479,0,0,1.54738782148781,33.5420663320563,0,2216.59836131608,0,731.022995740388,0,0,1519.11743190775
2.98250367580746,0,0,6.5656721290595,3.6880015524325,0,0,8.07471864594211,0.705497876625045,0,0,1.5090465168826,32.9703292351292,0,2141.11489051051,0,692.608606370276,0,0,1481.47661337536
2.89553870028872,0,0,6.55957277643044,3.56957532667258,0,0,8.0433944151802,0.674036626383858,0,0,1.48382163874975,32.5456197728625,0,2085.88911302661,0,661.722145324559,0,0,1456.71258747491
2.81753622977461,0,0,6.56793769722367,3.46554089017124,0,0,8.03593179756637,0.648004660396635,0,0,1.4679941003427,32.2284035526949,0,2045.11158755802,0,636.165776863551,0,0,1441.17421424717
