"stock.s_1","stock.s_2","stock.s_3","stock.s_4","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4"
409.1663008,879.1406916,462.146366,381.62581228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420.423767807876,1111.25321680325,495.403428463085,391.492546830973,37.2076590617736,17.0534696526285,10.125432971388,42.0254171005135,0.698368187950109,0,101301.820170291,0,36527.8844103052,8950.37371896302,14566.6371979845,41257.6232112261
433.544918412121,1350.60367946654,529.523201240705,403.479175186828,35.7639941487132,20.1647883303131,10.1535832581366,40.329613048985,0.653297075448791,0,99893.201217721,0,35110.5948951564,10583.3238159994,14607.1347268551,39592.8010767855
448.373687959159,1573.62222387833,564.251410710734,417.384273048585,34.4841950706559,22.9158411314607,10.1478153907248,38.8641271917214,0.610854745114921,0,98633.6841396184,0,33854.1774270732,12027.1913216994,14598.8369649489,38154.089280642
464.618379234027,1759.6815019542,599.26832123984,432.86087232267,33.4717828846203,25.0588472385365,10.1487592880795,37.7325893723416,0.573311542917509,0,97655.0382016208,0,32860.2617591809,13151.9305056338,14600.1948733323,37043.2243750167
481.905909457619,1898.91704032727,634.210581830696,449.475944966825,32.7735644393378,26.4778819838872,10.1847455657165,36.9757867952999,0.54172546499467,0,97023.1709193142,0,32174.7995907581,13896.6992564977,14651.9654052124,36300.248392311
499.849628371495,1993.70732621619,668.703297823169,466.785463792963,32.3722442436903,27.2106195055437,10.264684655407,36.5644303776673,0.515896421435173,0,96724.9406834838,0,31780.8114149958,14281.270536731,14766.9672743422,35896.4073538363
518.101569974503,2053.77907882246,702.390511921994,484.392823625399,32.2065588308063,27.4023769851282,10.3810190287658,36.4220239351791,0.494831011732458,0,96690.5018004786,0,31618.1530332832,14381.9128775947,14934.3280790762,35756.6026415361
536.374756749286,2090.14264010015,734.956028851902,501.974146304204,32.2028011559709,27.2304205621487,10.5186244546342,36.4601326130545,0.477343156875577,0,96831.9545270542,0,31614.4640102299,14291.6629589334,15132.2898176768,35794.0150833711
554.441606104129,2111.68000559346,766.133961632996,519.276721683743,32.297837959721,26.8474428900648,10.6627210796466,36.6039768528618,0.462441796451458,0,97072.7835829388,0,31707.7645152777,14090.6602679273,15339.5899167384,35935.2313247919
572.122521412258,2124.42729722193,795.712465970366,536.106132773478,32.4470195591705,26.3614313060943,10.8025250846163,36.8010028394137,0.449439208008698,0,97358.7245060376,0,31854.2206041111,13835.5810730837,15540.7145723431,36128.6576957077
