"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","effort.t_3","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","rev_per_sp.s_1","rev_per_sp.s_2"
1631.3743,32.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1411.98456980756,41.9556957924243,610.919562192438,1.36043780757568,103.926374104358,0,0,1584904.08727239,0,0,1582403.84999085,2604.16365563945
1151.98698330254,52.5623250648768,610.267034927561,2.01296507243582,119.945875906513,2.58051410010211e-18,0,1584446.96586477,6.36603710636282e-17,0,1580713.67386937,3853.23787130737
839.580470113261,63.9084464742002,609.194409729255,3.08559027074525,146.758646375363,0,0,1583695.0691865,0,0,1577935.36008072,5906.46775216327
458.379751214243,74.5325331609895,607.149649545818,5.13035045418296,200.691408460933,-3.37878202868789e-18,0,1582258.89898802,-1.28734779084468e-16,0,1572639.02225358,9820.56814290156
0,80.0928397646215,601.424325852833,10.8556741471674,364.125358644367,1.68886856729582e-18,0,1578225.20347461,7.53253118029059e-17,0,1557809.28882401,20780.0400092493
0,95.0205559511216,0,1.61203589686195,30.6629029611672,24.5014992401503,1.53314514805836,1849.76433305075,1176.14543079002,3.16792294197143,0,3085.77523413212
0,108.867611573619,0,2.26893710888071,36.3778596814393,29.0680925570509,1.81889298407196,2610.31949032353,1660.8399172535,4.79785039094047,0,4343.22210319054
0,120.627136172755,0,2.97841159693418,41.6790941500673,33.3040969715527,2.08395470750336,3432.61468419027,2185.02165320962,6.60177973834749,0,5701.30526296737
0,129.793783513975,0,3.65659918864135,46.1811340666497,36.9014969872971,2.30905670333249,4219.2131532971,2686.5394628197,8.35442901507689,0,6999.49873288916
0,136.416863096389,0,4.23345656937004,49.690511668057,39.7057002534777,2.48452558340285,4888.60338799857,3113.37956498456,9.86120916576372,0,8103.72489965383
0,140.917368457798,0,4.67652694949113,52.2261047015478,41.7317912228188,2.61130523507739,5402.90591989251,3441.35300610705,11.0265248264078,0,8951.85465198541
0,143.839210230009,0,4.99018185595046,53.9490871751203,43.1085575981516,2.69745435875602,5767.05892688234,3673.58691878817,11.8550656763876,0,9552.25601047892
0,145.67708290488,0,5.1992644039282,55.067690922877,44.0023891088341,2.75338454614385,6009.83347623215,3828.41810546166,12.4088683717437,0,9952.48391464341
0,146.809303255649,0,5.33297805712933,55.7713057734702,44.5646195913491,2.78856528867351,6165.10578958236,3927.44601905197,12.7636274497161,0,10208.4399267375
0,147.497648879547,0,5.41619733391566,56.2047672769991,44.9109813403589,2.81023836384995,6261.74696204626,3989.08150856777,12.9846409594582,0,10367.7390985547
0,147.912723227748,0,5.46710631452334,56.4682948923434,45.1215557166759,2.82341474461717,6320.86836120496,4026.7880248695,13.1199268956261,0,10465.1895783237
0,148.161766935499,0,5.49791966745112,56.6272027859577,45.2485326581473,2.83136013929788,6356.65298793799,4049.61088277271,13.201840337512,0,10524.1728066316
0,148.310742194598,0,5.51644917543292,56.7225471771201,45.3247185473496,2.83612735885601,6378.17216934412,4063.33550424556,13.2511094324471,0,10559.6421761055
0,148.399696107087,0,5.52754822784791,56.7795811632644,45.370292124318,2.83897905816322,6391.0620929882,4071.5565227676,13.2806251272154,0,10580.8880932288
0,148.452753318422,0,5.53418084918393,56.8136364570294,45.3975043473539,2.84068182285147,6398.76493848596,4076.46929758867,13.298264614506,0,10593.5843233164
0,148.484379160388,0,5.5381388181138,56.8339489859313,45.4137352766982,2.84169744929656,6403.36156568495,4079.40096828736,13.3087913373806,0,10601.1607070216
0,148.503223100324,0,5.54049871990898,56.8460566865211,45.4234100559315,2.84230283432605,6406.10226492781,4081.14895216267,13.3150679697098,0,10605.678054637
0,148.51444848243,0,5.54190508266069,56.8532709381743,45.4291746758576,2.84266354690872,6407.73556180074,4082.1906487833,13.3188085349386,0,10608.3701282799
0,148.521134551366,0,5.5427429412887,56.8575684859106,45.4326086743517,2.84287842429553,6408.70861977412,4082.81125323921,13.3210370463545,0,10609.9739656442
0,148.525116585683,0,5.54324201725028,56.860128193914,45.4346540346289,2.8430064096957,6409.28822826275,4083.18092045822,13.322364481446,0,10610.9293018406
0,148.527488057463,0,5.54353926350975,56.8616526838961,45.435872193594,2.8430826341948,6409.63343920416,4083.40109179162,13.3231550955253,0,10611.498293603
0,148.528900329321,0,5.5437162901592,56.8625605828951,45.4365976593682,2.84312802914476,6409.83903150394,4083.53221605923,13.3236259510723,0,10611.8371597856
0,148.529741358639,0,5.54382171538161,56.863101259878,45.4370296927181,2.8431550629939,6409.96146852241,4083.61030490118,13.3239063614618,0,10612.0389658006
0,148.530242199195,0,5.54388449817718,56.8634232412239,45.4372869751324,2.84317116206119,6410.0343821799,4083.65680834593,13.3240733514916,0,10612.1591452557
0,148.530540452441,0,5.54392188606803,56.8636149840242,45.4374401891344,2.84318074920121,6410.07780311867,4083.6845016932,13.3241727960555,0,10612.2307135303
