"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
8156.8715,163.63,NA,NA,NA,NA,NA,NA,NA,NA
7666.11349446816,151.324005531843,490.758005531837,12.3059944681571,75.2062242141237,0,1294642.43737524,0,1271161.38592856,23556.2576708909
7313.53275271955,143.813630473767,490.950209824427,12.1137901755792,80.0520058466873,0,1294767.51977338,0,1271659.23348723,23188.3382919955
7049.38123682756,138.789918302439,490.995308265321,12.0686917346759,83.9189699538065,0,1294794.13890432,0,1271776.04746884,23102.0104054339
6845.53701967156,135.229223110406,490.980814116381,12.0831858836209,87.060976988907,0,1294781.19899755,0,1271738.50472425,23129.755250286
6684.75138559281,132.600590609389,490.941211382868,12.1227886171326,89.6462194952865,0,1294751.84270321,0,1271635.92572391,23205.5631988013
6555.79052591819,130.600004109777,490.89215801158,12.1718419884214,91.7932713005539,0,1294716.53606295,0,1271508.86768159,23299.4616526561
6450.99256500579,129.040931928445,490.841242866032,12.2227571339639,93.5892553547701,0,1294680.32194965,0,1271376.9872716,23396.9239334051
6364.93688386443,127.802842108384,490.792190467794,12.2718095322107,95.1001310112642,0,1294645.65214332,0,1271249.93174968,23490.8205246531
6293.67268203528,126.804599921687,490.746747252894,12.3172527471092,96.3769861758119,0,1294613.65612931,0,1271132.22473445,23577.808381044
6234.2487281803,125.989725209127,490.705610130614,12.3583898693905,97.4601069442506,0,1294584.76472526,0,1271025.67136032,23656.553471886
6184.41458456092,125.317766824441,490.668913542654,12.3950864573429,98.3817246745211,0,1294559.03658102,0,1270930.61985818,23726.7984475103
6142.42404249553,124.759032634021,490.636495918887,12.4275040811096,99.1679344120412,0,1294536.33638179,0,1270846.6517291,23788.8525871009
6106.90188609913,124.291253161971,490.608049142878,12.4559508571193,99.8400724511757,0,1294516.43450764,0,1270772.96888988,23843.3056902063
6076.75121396164,123.89740521065,490.58320322164,12.4807967783604,100.415728869481,0,1294499.06325693,0,1270708.61298469,23890.8660011053
6051.08749232633,123.564254990525,490.561573956619,12.5024260433836,100.909506717489,0,1294483.94831222,0,1270652.58886243,23932.2689565053
6029.19067629926,123.281360359314,490.54278907109,12.5212109289054,101.333601128138,0,1294470.82582303,0,1270603.93225194,23968.22717222
6010.46981914658,123.040373256357,490.526501672043,12.5374983279562,101.698247743329,0,1294459.45105754,0,1270561.74463093,23999.404674357
5994.43648715578,122.83454268873,490.51239626937,12.5516037306262,102.012074560882,0,1294449.60211956,0,1270525.20881692,24026.405377202
5980.68449635833,122.658354309867,490.500190475352,12.5638095246468,102.282381239325,0,1294441.08081819,0,1270493.59336926,24049.7698301742
5968.87426290627,122.50726468509,490.489634268522,12.5743657314767,102.515363117546,0,1294433.71194606,0,1270466.25068233,24069.97662685
5958.72057126616,122.377502281419,490.480507961737,12.5834920382644,102.716292544861,0,1294427.34172451,0,1270442.61172249,24087.4462945661
5949.98290944565,122.265916211681,490.472619559913,12.5913804400826,102.889666853369,0,1294421.83586944,0,1270422.17918409,24102.5463522105
5942.4577569038,122.169859666083,490.465801913934,12.598198086062,103.039329981796,0,1294417.07754581,0,1270404.52011747,24115.5967583208
5935.97237539491,122.087098901498,490.459909904602,12.6040900953969,103.168573082155,0,1294412.96536333,0,1270389.2586349,24126.8753015098
5930.37976926321,122.015741322557,490.454817784587,12.6091822154073,103.280218211923,0,1294409.41149598,0,1270376.06902564,24136.6226885549
5925.55456494785,121.954178015167,490.450416741223,12.6135832587818,103.376688303167,0,1294406.3399646,0,1270364.66944312,24145.0472097927
5921.38961980535,121.901037361178,490.44661270379,12.6173872962091,103.460065916232,0,1294403.68509572,0,1270354.81622536,24152.3289362765
5917.79321462221,121.855147253753,490.443324396499,12.6206756035003,103.532142766815,0,1294401.39015602,0,1270346.29885181,24158.6234469763
5914.68671702103,121.815504066062,490.440481624953,12.6235183750471,103.594461617282,0,1294399.40615204,0,1270338.93550495,24164.065108699
5912.0026275667,121.781246980738,490.438023778014,12.6259762219858,103.648351815205,0,1294397.69078188,0,1270332.56918981,24168.7699438875
