"stock.s_1","stock.s_2","stock.s_3","stock.s_4","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","effort.t_1","effort.t_2","effort.t_3","effort.t_4","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","mortality1","mortality2","mortality3","mortality4"
25.1622,104.54216,302.649,293.1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112090763076336,0.1,0.164630568477471,0.179152793991996
26.4528855106054,107.274487609691,330.369194861643,322.709841498025,2.82045019867938,10.454216,49.825276919135,52.5101138857646,4.00755581540284,15.5390109978904,9.57007800882729,10.414264069298,6760.84224571708,18277.3526879621,103328.054252277,108895.561935006,108905.976199076,103337.624330286,18292.89169896,6764.84980153248,0.112090763076336,0.1,0.164630568477471,0.179152793991996
27.7543522167793,109.989814460544,358.690067015064,353.024814976972,2.96512412245462,10.7274487609691,54.3888683575133,57.8143697530808,4.00755581540272,15.5390109978904,9.57007800882729,10.4142640692962,7107.84265189201,18755.4581054335,112792.942895474,119896.58860382,119907.00286789,112802.512973483,18770.9971164314,7111.85020770742,0.112090763076336,0.1,0.164630568477471,0.179152793991996
29.0612137368079,112.683784433856,387.288716491212,383.63013441012,3.11100651866827,10.9989814460544,59.0513496399086,63.2453819516325,4.00755581540295,15.5390109978904,9.57007800882729,10.4142640692971,7457.74157921044,19230.5887131226,122462.929075162,131160.507903617,131170.922167686,122472.49915317,19246.1277241205,7461.74913502585,0.112090763076336,0.1,0.164630568477471,0.179152793991996
30.3679589777705,115.35216987314,415.823339626071,414.083030911092,3.25749362368329,11.2683784433856,63.7595615608544,68.7284104391044,4.00755581540284,15.5390109978905,9.57007800882729,10.414264069298,7809.09090058896,19701.9822730227,132227.760599203,142532.308986633,142542.723250703,132237.330677212,19717.5212840206,7813.09845640437,0.112090763076336,0.1,0.164630568477471,0.179152793991996
31.6690437897742,117.990897646771,443.949032005367,443.939929135687,3.40396769488916,11.535216987314,68.4572327888297,74.1841319323967,4.00755581540284,15.5390109978904,9.57007800882639,10.4142640692971,8160.40896037624,20168.8990255739,141970.730726024,153847.475363721,153857.889627791,141980.300804033,20184.4380365718,8164.41651619164,0.112090763076336,0.1,0.164630568477471,0.179152793991996
32.9589847483694,120.59607321762,471.334366586035,472.782194979306,3.54980728429368,11.7990897646771,73.0875815140551,79.5330786692676,4.00755581540284,15.5390109978904,9.57007800882639,10.4142640692971,8510.20521556299,20630.6262501317,151574.073982141,164941.190895992,164951.605160061,151583.64406015,20646.1652611296,8514.21277137839,0.112090763076336,0.1,0.164630568477471,0.179152793991996
34.2324517212453,123.164002429079,497.677084371534,500.23973432435,3.69439775066625,12.0596073217619,77.5960447140302,84.7002511802119,4.00755581540307,15.5390109978904,9.5700780088282,10.4142640692971,8857.0054491576,21086.4824766944,160924.62665889,175657.90668369,175668.32094776,160934.196736899,21102.0214876923,8861.01300497301,0.112090763076336,0.1,0.164630568477471,0.179152793991996
35.4843559032355,125.691210766774,522.717322840872,526.009620777966,3.83714163540821,12.3164002429079,81.9328613182986,89.6193460700217,4.00755581540284,15.5390109978904,9.5700780088282,10.4142640692971,9199.37665671119,21535.8212980447,169919.184296143,185860.109485156,185870.523749225,169928.754374151,21551.3603090426,9203.38421252659,0.112090763076336,0.1,0.164630568477471,0.179152793991996
36.709930234592,128.174459909229,546.247163810259,549.867802298118,3.97746853046595,12.5691210766773,86.0552500123173,94.2360932290437,4.00755581540284,15.5390109978903,9.5700780088282,10.4142640692971,9535.95071450717,21978.0347401828,178469.018447537,195435.243092967,195445.657357037,178478.588525546,21993.5737511806,9539.95827032257,0.112090763076336,0.1,0.164630568477471,0.179152793991996
37.9047995334914,130.610761437077,568.115829430214,571.67315121566,4.11484409247447,12.8174459909229,89.9289811072921,98.5103531079471,4.00755581540284,15.5390109978904,9.5700780088282,10.4142640692971,9865.44599998461,22412.5561583789,186503.136738515,204300.058081813,204310.472345882,186512.706816524,22428.0951693768,9869.45355580002,0.112090763076336,0.1,0.164630568477471,0.179152793991996
39.0650382399722,132.997387627302,588.23046948359,591.364358389864,4.24877790396459,13.0610761437077,93.5292319601313,102.416842290513,4.00755581540284,15.5390109978904,9.57007800882639,10.414264069299,10186.6862468437,22838.8626360232,193970.057007304,212402.116646455,212412.530910524,193979.627085312,22854.4016470211,10190.6938026591,0.112090763076336,0.1,0.164630568477471,0.179152793991996
40.1872143373937,135.331879314838,606.553035669508,608.951137065683,4.37882994592472,13.2997387627303,96.8407165868562,105.944577072848,4.00755581540284,15.5390109978905,9.5700780088282,10.414264069299,10498.6160694851,23256.4768734152,200838.076123131,219718.638585016,219729.052849086,200847.64620114,23272.0158844131,10502.6236253005,0.112090763076336,0.1,0.164630568477471,0.179152793991996
41.268418734325,137.612050857021,623.09413097609,624.501724183814,4.50461552099073,13.5331879314837,99.8571710739912,109.095297609921,4.00755581540284,15.5390109978903,9.57007800882639,10.4142640692971,10800.3127712809,23664.9685633915,207094.202729449,226253.232978907,226263.647242976,207103.772807458,23680.5075743894,10804.3203270963,0.112090763076336,0.1,0.164630568477471,0.179152793991996
