"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","stock_g.sg_1","stock_g.sg_2","stock_g.sg_3","stock_g.sg_4","stock_g.sg_5","stock_g.sg_6","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6"
149.3953312,314.63455756,388.54369392,1264.940904,118.84994368,13.838135672,149.3953312,314.63455756,388.54369392,1264.940904,118.84994368,13.838135672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195.889541951361,352.062037944943,497.512120362102,1334.14140195147,179.862810292914,27.2282814478638,208.897954309123,355.502101694684,502.872665442989,1395.35373730065,202.822169219924,27.2661063402246,13.0084123577621,3.44006374974115,5.36054508088717,61.2123353491772,22.9593589270096,0.0378248923607896,0.964989034968312,0,212148.099733294,0,24288.7644271806,6181.34088267754,9632.19256166899,145750.410499824,26228.3900077517,67.9663432255344
243.500825676286,390.955004728574,610.810980326458,1412.84128727804,234.480094973338,36.5435355229128,257.722787872755,394.164526067547,616.534112194391,1466.67217891461,263.451072640934,36.6055911754859,14.2219621964684,3.20952133897295,5.72313186793225,53.8308916365702,28.9709776675953,0.0620556525730398,0.804606205696473,0,203986.848301821,0,26554.6540178802,5767.08657446021,10283.7132000435,128174.729959999,33095.9633318701,111.505823774291
284.535165068262,430.455006740403,715.948237677429,1498.06301933188,260.175007271273,33.1436388743986,299.757342489732,433.523858554378,721.998371696705,1547.14828677615,292.695403622061,33.2153521814417,15.2221774214706,3.06885181397517,6.05013401927579,49.0852674442714,32.5203963507883,0.0717133070431259,0.692805696598953,0,198961.856893033,0,28422.2141250182,5514.32198953616,10871.2929409641,116875.101050893,37150.7602371125,128.859355205564
313.32660728537,469.569137346409,801.814408279032,1586.15176397494,265.424137688364,35.3336929278111,329.520208510926,472.645291223178,808.270518486483,1633.53437824731,298.274984992123,35.3929063999602,16.193601225556,3.07615387676967,6.45611020745082,47.3826142723723,32.8508473037587,0.0592134721490942,0.630728712189011,0,197819.244558233,0,30236.0160931198,5527.44283338183,11600.778610975,112820.97703606,37528.2619130301,106.398800379215
329.974770224569,507.366458912128,863.614832612168,1674.57699824469,267.0936149655,34.0544252023228,346.829964439956,510.538281076583,870.44910303183,1721.99712013415,298.771079061421,34.114092773804,16.855194215387,3.17182216445487,6.8342704196613,47.4201218894603,31.6774640959218,0.0596675714811995,0.596172025543638,0,198655.65572172,0,31471.3149009016,5699.34612961836,12280.2826405484,112910.285025311,36187.8084403729,107.214756992389
338.469315636468,543.068459760226,903.533301298034,1761.93238587005,268.309370718528,34.8603926333506,355.494503473497,546.355505369386,910.593437636725,1809.94968641109,298.883084138056,34.9155492448821,17.0251878370291,3.28704560915954,7.06013633869049,48.01730054104,30.573713419528,0.0551566115315403,0.571802810532972,0,199738.885493383,0,31788.7198936582,5906.38746408475,12686.1339098465,114332.204857531,34926.9020142043,99.1091568682491
342.652298899399,576.063469133652,927.332446750099,1847.15920176636,269.257686406725,34.3738592033518,359.535893774687,579.464988905546,934.473653408966,1896.00377283942,298.950747195066,34.4284463935729,16.8835948752875,3.40151977189361,7.14120665886643,48.8445710730612,29.6930607883418,0.0545871902210791,0.552816157578491,0,200788.61259229,0,31524.3434272837,6112.0824376653,12831.8065836488,116301.987891436,33920.8590865452,98.0859818686327
344.820556154131,605.933595460883,940.822258542036,1929.39575910028,270.036041894183,34.6774477274106,361.431750180454,609.440228628695,947.945283645123,1979.16178616131,298.995392459439,34.7297581636234,16.6111940263227,3.50663316781189,7.12302510308696,49.7660270610295,28.9593505652568,0.0523104362128529,0.537257280928316,0,201787.992834654,0,31015.7279353768,6300.95734777579,12799.1367256967,118496.032404487,33082.6807234243,93.994955174169
346.087385416681,632.46260523704,948.279501393029,2007.95864251317,270.70240764904,34.4928747510499,362.389994935527,636.059782257697,955.327298290641,2058.6538308165,299.026709851684,34.5443411699959,16.3026095188459,3.5971770206569,7.04779689761215,50.6951883033299,28.3243022026448,0.0514664189459509,0.523961150523974,0,202724.756146536,0,30439.5518270364,6463.65271041496,12663.9615615542,120708.423611476,32357.2120297502,92.4783674545433
346.942881330357,655.618716308194,952.383297725757,2082.32023781643,271.285878361619,34.6080402393986,362.942126066291,659.290028903032,959.329251560915,2133.90838352551,299.049705872533,34.6580962172674,15.9992447359334,3.671312594838,6.945953835158,51.5881457090804,27.7638275109147,0.050055977868812,0.512328859593254,0,203591.927272656,0,29873.1217704686,6596.86456021889,12480.9630093871,122834.611212465,31716.9350581281,89.9439908478938
347.595318380483,675.520901709646,954.671807754493,2152.09728370912,271.802495923056,34.5382780062003,363.311755870382,679.25014117372,961.507613567275,2204.5206724514,299.066951079203,34.5874917022158,15.7164374898994,3.72923946407383,6.83580581278202,52.4233887422785,27.2644551561466,0.0492136960155404,0.502031811425695,0,204386.835074827,0,29345.0758884421,6700.95150484016,12283.0415394987,124823.377271811,31146.4603806082,88.4305214376955
348.132826412215,692.397155461301,955.987632883519,2217.04026252481,272.261339570055,34.5821893626601,363.591902451639,696.169585600828,962.715006236182,2270.23307540191,299.079967969689,34.6304089114882,15.4590760394242,3.77243013952658,6.72737335266298,53.1928128770949,26.818628399634,0.0482195488281056,0.49288400367368,0,205110.03449049,0,28864.5413334701,6778.55945264247,12088.2027087376,126655.424405093,30637.1553045006,86.6441700500063
348.593949925478,706.542872486752,956.78129145831,2277.02342848589,272.668931520143,34.5559634998244,363.821563457846,710.345772831467,963.406826606333,2330.91761149906,299.089755299412,34.6034480361264,15.2276135323678,3.80290034471508,6.62553514802381,53.8941830131647,26.4208237792698,0.0474845363019669,0.484754644450732,0,205763.866794159,0,28432.364204317,6833.31039295553,11905.2128854235,128325.430698128,30182.7099185049,85.323449473987
348.996821393036,718.284651138844,957.290874412942,2332.0315319785,273.030313671911,34.5728293303098,364.017769205767,722.107514814547,963.823262597755,2386.56039389409,299.097049794525,34.6195719819046,15.0209478127312,3.82286367570356,6.53238818481379,54.5288619155963,26.0667361226143,0.046742651594804,0.47754312879988,0,206351.868426735,0,28046.4866013186,6869.18186597775,11737.8400767566,129836.640980129,29778.2060651868,83.9903804949705
349.351265095335,727.952348638389,957.641798820174,2382.14468531929,273.350002542243,34.5630696684916,364.188570344666,731.786797463252,964.090307623297,2437.24440899979,299.102415944326,34.6092100657171,14.8373052493315,3.83444882486312,6.44850880312297,55.0997236804939,25.7524134020835,0.0461403972255283,0.471160277316812,0,206878.18033211,0,27703.596874383,6889.998851168,11587.119889871,131195.898654222,29419.1290139247,82.9082088186883
349.663608645643,735.85977133723,957.900329161994,2427.52135061026,273.632067516861,34.5696336495071,364.338362994218,739.699356201475,964.274055776294,2483.13201684527,299.106300080468,34.6152093836612,14.6747543485755,3.83958486424534,6.37372661430023,55.6106662350042,25.4742325636071,0.0455757341541563,0.465525664156303,0,207347.315250269,0,27400.0886193166,6899.22763659698,11452.7461588316,132412.48492947,29101.3398479711,81.8935837471987
349.938666815451,742.293039814075,958.101849980108,2468.38111029986,273.880327990543,34.566076912114,364.46999339544,746.132964344563,964.409345758722,2524.44707881696,299.109054406883,34.611175448937,14.5313265799886,3.83992453048825,6.30749577861352,56.0659685170965,25.2287264163399,0.0450985368229591,0.460563945205649,0,207763.903822749,0,27132.2862782073,6899.83797204031,11333.7380816252,133496.58822561,28820.8777061362,81.0361230758214
350.180493773098,747.504948061544,958.265637434034,2504.98793413704,274.098313648048,34.5686946201797,364.585623518983,751.341785767907,964.514755617792,2561.45807851718,299.110956846018,34.6133617636963,14.4051297458843,3.83683770636265,6.24911818375718,56.4701443801399,25.01264319797,0.0446671435165409,0.4562053247937,0,208132.578317978,0,26896.6568185381,6894.29135617696,11228.8412425056,134458.95631068,28574.0278292056,80.2609661963371
350.392695277772,751.713584572534,958.402553308455,2537.63496379745,274.289306760396,34.5674563462365,364.687061602305,755.545005159063,964.600398009519,2594.46265838444,299.112224486773,34.611752782083,14.2943663245336,3.83142058652889,6.19784470106407,56.8276945869912,24.822917726377,0.0442964358464787,0.452384863776388,0,208457.847901088,0,26689.8439827863,6884.55750624547,11136.709556053,135310.305783391,28357.2886040746,79.5948534021628
350.578536567104,755.103681232192,958.51903157248,2566.63121770187,274.456317763102,34.5685463487798,364.77590158916,758.928209745158,964.671968805288,2623.77425185655,299.113025584861,34.6125139704906,14.1973650220563,3.82452851296668,6.15293723280748,57.143034154682,24.6567078217583,0.0439676217107319,0.44904287866666,0,208744.034540697,0,26508.7272007991,6872.17335898083,11056.0167579928,136061.149076259,28167.4131717793,79.004017764234
350.740991832678,757.829513361513,958.619146875262,2592.29055293614,274.602101130224,34.5681606658333,364.853574170039,761.646323456333,964.73284123403,2649.71093524201,299.11348913036,34.6118439346319,14.112582337361,3.81681009482029,6.11369435876781,57.4203823058672,24.5113880001358,0.043683268798631,0.446124704816611,0,208995.212974507,0,26350.4245117827,6858.30437947676,10985.5024886937,136721.532423113,28001.4022230638,78.4930730816507
350.882762342504,760.018509719711,958.705684534992,2614.92287137407,274.7291523756,34.568647344317,364.921371968757,763.82725462561,964.785151306571,2672.58659608634,299.113713034768,34.6120810306347,14.0386096262533,3.80874490589903,6.07946677157981,57.663724712272,24.3845606591673,0.0434336863177392,0.443580739520257,0,209215.181841951,0,26212.305754111,6843.81229862237,10924.0000284511,137300.945958362,27856.5167768654,78.0446062784257
351.006292008651,761.77502736608,958.780697516993,2634.82747335005,274.839723048562,34.5685643917454,364.980460697562,765.575703968154,964.830358929077,2692.70424180468,299.113770788639,34.6117818460056,13.9741686889112,3.80067660207395,6.04966141208436,57.8767684546363,24.2740477400773,0.0432174542601848,0.441366184939397,0,209407.442503759,0,26091.9843264439,6829.3146206966,10870.4437281686,137808.216473805,27730.2686550428,77.6560657876843
351.113779763516,763.183962944665,958.845797023692,2652.2883113649,274.93583040568,34.5688040146194,365.031888551843,766.976805860722,964.869539895155,2710.35124180415,299.113716921626,34.6118328424994,13.9181087883271,3.79284291605692,6.02374287146284,58.0629304392489,24.1778865159463,0.0430288278800728,0.439440857910085,0,209575.194866381,0,25987.3116206862,6815.23852003052,10823.8715288088,138251.479837667,27620.4156709874,77.31712905867
351.207194715985,764.31402816472,958.902307075041,2667.5708739004,275.019274525854,34.5688201198204,365.076593705613,768.099428388168,964.903538225214,2725.79620163879,299.113591378515,34.6116855285371,13.8693989896278,3.78540022344813,6.00123115017382,58.2253277383881,24.0943168526608,0.0428654087167111,0.437768871168373,0,209721.339424574,0,25896.3627182864,6801.86498295483,10783.4209344983,138638.157994587,27524.947076745,77.0234863738282
351.288291633925,765.220616826531,958.951348490701,2680.92039701261,275.091653560871,34.5689522321024,365.115412494473,768.999060785176,964.933047227754,2739.28718098653,299.11342299837,34.6116756272824,13.8271208605482,3.7784439586449,5.98169873705303,58.3667839739169,24.0217694374991,0.0427233951799274,0.436318335152464,0,209848.48828676,0,25817.4227608655,6789.36549249563,10748.3237640549,138974.974165355,27442.0701155474,76.7683067769732
351.358627886692,765.948253153271,958.993886988383,2692.56112508408,275.154381510198,34.5689939617207,365.149087343406,769.720277809264,964.958653567495,2751.05096357736,299.113232247906,34.6115944055642,13.7904594567135,3.77202465599251,5.96476657911153,58.4898384932768,23.9588507377075,0.0426004438434686,0.435061015654355,0,209958.979732461,0,25748.9701183123,6777.8308522069,10717.898909247,139267.97469553,27370.1928387401,76.547379440179
351.419580352932,766.532645274533,959.030762507526,2702.69636327563,275.208704787998,34.5690748887789,365.178274980984,770.29880590342,964.98086252604,2761.29312594323,299.113033344189,34.6115687501441,13.7586946280528,3.76616062888712,5.95010001851414,58.5967626676053,23.9043285561909,0.042493861365186,0.433972008264391,0,210054.896519306,0,25689.6601564821,6767.29396884641,10691.5450340795,139522.567862281,27307.9076048432,76.3558647828025
351.472362368588,767.002384932403,959.062708873076,2711.50910440278,275.255719018256,34.5691173327741,365.203554378672,770.763232571626,965.000113417058,2770.19868204209,299.112835890344,34.6115189956261,13.731192010084,3.76084763922266,5.93740454398114,58.6895776393149,23.8571168720883,0.0424016628520651,0.433029409730807,0,210138.085645183,0,25638.3084165,6757.74722709647,10668.7329406229,139743.566132483,27253.973761677,76.190196213864
351.518039996262,767.38034037193,959.090368182478,2719.1630484827,275.296384627696,34.5691710285544,365.22543449784,771.136406638069,965.016789929907,2777.93312296378,299.112646121458,34.6114929005181,13.707394501578,3.75606626613959,5.92642174742929,58.7700744810836,23.8162614937621,0.0423218719636958,0.432214010041207,0,210210.178763693,0,25593.8747022112,6749.15573023367,10648.9983036304,139935.234162542,27207.3012565753,76.0468225102867
