"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6"
149.3953312,314.63455756,388.54369392,1264.940904,118.84994368,13.838135672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152.339639709714,340.545302782649,479.565947699819,1129.21314882388,102.99886953649,27.1016502864808,56.558314599409,14.9567989120353,23.3067177431705,266.14058847677,99.8232996834332,0.164456053743853,4.19560449989513,0,922383.042325901,0,105603.323597265,26875.395142287,41879.0980945414,633697.436960727,114036.478295467,295.505840113336
149.965671127669,364.876064007068,567.589076859716,997.513175936329,88.863672257282,36.2481283484189,62.2520799320824,17.4738513297784,31.0506787559587,256.447406504917,93.3785031107153,0.347655837435684,4.52872605674202,0,921338.24103391,0,116234.484500343,31398.2063880983,55793.9747609435,610617.362603359,106674.049816202,624.691691020082
142.971299914332,386.885680979592,643.37207170616,868.755774797462,74.6919071610362,32.9423004613737,66.5721363501167,20.3384949874799,39.9223856491965,246.093828124441,87.5182051160981,0.505125242864283,4.91966745092941,0,919428.478315768,0,124300.713473101,36545.5932517824,71735.2620473866,585964.842968414,99979.342797025,907.643445510087
131.66507223948,405.699540816461,700.083068113441,741.031362236834,59.5396312147348,34.9825030427463,69.8826279666466,23.7451992770745,49.826959317544,235.993211052719,80.9967174607429,0.505460396052015,5.41695803646871,0,918028.163989993,0,130481.92519984,42666.9915840222,89532.4747142317,561914.640078633,92529.3036997151,908.245671588439
115.879204334757,420.224811723522,734.991787688041,612.143726921452,42.991034120928,33.7456964807246,72.375835775479,28.0027269700155,60.9753641033358,226.381556385896,72.6110401051864,0.603652130048004,6.09197508908983,0,918075.957869657,0,135137.138724079,50317.207365485,109564.687862677,539028.687348995,82949.6452754563,1084.68326805335
94.9276036445934,428.895739342522,748.326301275654,479.693477910917,25.3759044598871,34.4094911429432,74.0079723075998,33.6998130723384,74.3767685381601,217.274043516883,60.9150212661819,0.676556769163053,7.07796009145386,0,920524.000887435,0,138184.595911891,60554.1197596442,133645.244254839,517343.127866271,69588.3077650028,1215.68328987929
67.9274906653021,429.136026409916,740.162966953341,341.801638999545,8.81970772740289,33.866423723571,73.9985269643572,41.9812232247873,92.4279635843933,207.814483976593,43.8859591805913,0.842018539536792,8.63904359578009,0,926140.813470223,0,138166.95996135,75434.721651224,166080.861161317,494819.323174291,50134.590295494,1512.99627014262
35.1873784654934,416.116819108567,706.342579822176,199.465659015792,0,33.9306617353233,69.6305716857125,55.2359928424072,120.216355984014,194.719736342276,20.0577442851917,1.08977433049911,11.3602920951234,0,933776.390137379,0,130011.296235933,99251.7946150697,216012.937570246,463639.907584179,22913.6336715775,1958.18075246819
4.23740173652084,381.168963781071,635.118747829046,67.4202612565689,0,33.4076595689563,52.1073101687627,77.3748486565718,165.732983348705,164.157723795493,0,1.57730950044713,16.4114461291792,0,927812.951189451,0,97292.5939626996,139032.398840819,297800.314211779,390869.838463557,0,2834.21715672658
0,308.341667205046,500.392165938917,0,0,32.7348831155786,10.2130159820367,115.357199044234,242.54432751025,90.3080042826593,0,2.5276286508258,26.7109589528663,0,881715.28806486,0,19069.3170278157,207281.673375079,435820.169790007,215029.023489044,0,4541.8153418675
0,198.991175305541,312.339491016931,0,0,31.6024984443376,0,149.934678413408,307.036068448615,0,0,3.97942860797151,42.9172795615978,0,828223.757930878,0,0,269412.843723506,551703.323085454,0,0,7150.50840147999
0,78.5552609401948,113.98738650826,0,0,29.9646204798808,0,152.615949145879,302.274854955343,0,0,6.0593713687788,67.6906078197935,0,828198.98460263,0,0,274230.733623771,543148.050346879,0,0,10887.8912397994
0,0,0,0,0,21.4303037644176,0,157.515980635299,288.413218074713,0,0,15.0209767599898,176.974891466942,0,828089.700318984,0,0,283035.443994106,518240.516945059,0,0,26990.7142712865
0,0,0,0,0,31.3088418997061,0,0,0,0,0,3.31053617580154,54.5371291617211,0,5894.05978524278,0,0,0,0,0,0,5948.5969144045
0,0,0,0,0,29.0530206355431,0,0,0,0,0,7.06603348358637,79.6766286357201,0,12617.0536728732,0,0,0,0,0,0,12696.7303015089
0,0,0,0,0,30.4959595261556,0,0,0,0,0,6.08449122506616,73.9358786677386,0,10859.0924300734,0,0,0,0,0,0,10933.0283087411
0,0,0,0,0,29.6362696302351,0,0,0,0,0,6.70388088494368,77.6079565586953,0,11968.381885874,0,0,0,0,0,0,12045.9898424327
0,0,0,0,0,30.1755195961739,0,0,0,0,0,6.33123973598656,75.4201658764798,0,11300.982675795,0,0,0,0,0,0,11376.4028416715
0,0,0,0,0,29.8465926505784,0,0,0,0,0,6.56373740577865,76.7924817039245,0,11717.3780107912,0,0,0,0,0,0,11794.1704924952
0,0,0,0,0,30.0509613751882,0,0,0,0,0,6.42142183764612,75.9554085800943,0,11462.492776558,0,0,0,0,0,0,11538.4481851381
0,0,0,0,0,29.9253566091663,0,0,0,0,0,6.50966177814119,76.4754984329113,0,11620.5282226915,0,0,0,0,0,0,11697.0037211244
0,0,0,0,0,30.0030869424538,0,0,0,0,0,6.45535830548289,76.1558518509885,0,11523.2716904484,0,0,0,0,0,0,11599.4275422994
