"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6"
149.3953312,314.63455756,388.54369392,1264.940904,118.84994368,13.838135672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207.203019008677,355.053877474475,502.174211485862,1387.37805624499,199.830672113994,27.2463927155712,1.69493530044551,0.448224220209325,0.698453957127503,7.97568105566099,2.99149710592986,0.019713624653421,0.125733558787033,0,27668.4724379979,0,3164.7124260532,805.399811905995,1255.02964885026,18990.5969319285,3417.43656914938,35.4227836693783
266.591388191823,396.823833812052,620.419267492799,1514.30134087175,272.927262487418,36.5763316859434,1.8495975281858,0.397968059094001,0.71026004051256,6.88267751041418,3.95746255088772,0.030539573609102,0.0989273250452243,0,26408.6340414913,0,3453.49128023253,715.096118164287,1276.24362370693,16388.0869233044,4520.93943719161,54.8755862165886
315.266483024013,439.021579224726,729.617678940992,1643.66964042629,294.614665113159,33.1550556017226,1.97522480595054,0.369182378344691,0.728345614539798,6.23539778510656,4.48632613375005,0.0340285435812217,0.0821117907471489,0,25693.2107376779,0,3688.05728808476,663.372046113354,1308.74101510837,14846.873291548,5125.10440348307,61.1448051311279
345.771122452587,480.645888158815,817.890202150003,1773.1639375467,293.152076378915,35.3594187742746,2.11916216400282,0.370548497600415,0.777076107433734,6.14019785287469,4.39353669262491,0.0279839457157704,0.0744940348959062,0,25708.4497147888,0,3956.81111336739,665.826782252082,1396.30328426137,14620.1962807265,5019.1032882878,50.2834599284785
360.607416359621,520.732661570669,880.439170030215,1900.7452895114,293.634527349884,34.0681899469364,2.19740490899403,0.38354771671931,0.823565592973847,6.26255716596071,4.13321362724896,0.0282162495706481,0.0704298039199784,0,25955.8125995982,0,4102.90270002389,689.18466467172,1479.8387587436,14911.5414811511,4721.7145454923,50.7008793194612
366.673612804536,558.436278435045,920.00733561891,2024.62923366135,293.740996000204,34.8817667776031,2.18946846596471,0.397001052847589,0.847003517824691,6.41371127825619,3.95534771967542,0.0259732263322029,0.0672882368962746,0,26159.9718273152,0,4088.08410496191,713.358535468268,1521.95361870704,15271.4489048776,4518.5234891674,46.6704623698799
368.969729416691,593.090657475033,943.007019455711,2143.20826077183,293.867942089921,34.3890787341658,2.14506128307928,0.410210214597822,0.852772437024616,6.58244126270668,3.81239698172083,0.0256230792803983,0.0648328562674578,0,26348.9831164669,0,4005.16886716694,737.093657109184,1532.31960570424,15673.2055827923,4355.21894225525,46.0412942951802
369.842055100644,624.25261819868,955.658852458049,2255.14149045631,293.966524912394,34.6961978374369,2.09090390232819,0.422024066692641,0.846720508474992,6.74977276774744,3.69461385427648,0.0244701525378808,0.062802718632156,0,26520.019829573,0,3904.04846700746,758.32159131276,1521.4450882289,16071.6323935017,4220.66545525397,43.9696369868551
370.200871504329,651.710369722285,962.399727709638,2359.40084392932,294.052281244519,34.5085996255515,2.03800825967944,0.431939397685616,0.834400107317892,6.90629116335929,3.59385898129587,0.0240073559308864,0.0610695549112279,0,26673.6832755832,0,3805.28393155259,776.138133473286,1499.3069521641,16444.312512322,4105.56476310841,43.1380525177027
370.373890869316,675.462029379278,965.933378717343,2455.29108886751,294.126139800569,34.6252359271024,1.99003907369985,0.439897605489918,0.819712346378929,7.04867261807157,3.50689067485915,0.0232929397004366,0.0595743449230213,0,26810.4109063027,0,3715.71787030095,790.437983369171,1472.91498277869,16783.3316880077,4006.21361542229,41.8543407687968
370.476391765953,695.673842990648,967.774614180645,2542.44518334485,294.190201980166,34.5539797166858,1.94767316234019,0.44601499126131,0.80483102216446,7.17563180577257,3.43149086094644,0.0228634232980338,0.0582788300525863,0,26930.9512113925,0,3636.61400947173,801.430118839527,1446.17520571433,17085.6294784546,3920.07812130412,41.0825564383022
370.548850487155,712.629505124709,968.73520830725,2620.79562298108,294.245514339578,34.5984109166084,1.91078968077945,0.450537373706555,0.790875993321243,7.28761447101793,3.36630963998885,0.022378100642307,0.05715937318746,0,27036.4395592086,0,3567.74671266064,809.556243681835,1421.09985927227,17352.2672294123,3845.61617792442,40.2104956303129
370.605856487475,726.680746850521,969.240297675629,2690.52996028071,294.293156646063,34.5714139342608,1.87890957601391,0.453729491850913,0.778300504288929,7.38541674548915,3.31012022447332,0.0220287250122975,0.0561947208479978,0,27128.1103580043,0,3508.22151210056,815.292059010706,1398.5033639367,17585.1405803584,3781.42632361995,39.5827136988439
370.652993508817,738.205685035811,969.5099531771,2752.03677177636,294.333989660867,34.5883932593031,1.8515269241532,0.455862856361355,0.767239642262375,7.4702825545047,3.261905871441,0.021687410286879,0.0553672384121455,0,27207.3201476535,0,3457.09376782672,819.125433687859,1378.62845358147,17787.2113955112,3726.3470481348,38.9694161498529
370.692736243265,747.577840469491,969.657494577468,2805.84983702403,294.368866385019,34.5782034944631,1.82810992306647,0.457177637677457,0.757650447536178,7.54345786845442,3.22068847123136,0.0214209132249909,0.0546600346569903,0,27275.3996585292,0,3413.37052110421,821.487922319533,1361.39793528149,17961.4464085324,3679.26097525093,38.4905560752726
