"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","stock.s_7","stock.s_8","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","harvest.s_7","harvest.s_8","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6","rev_per_sp.s_7","rev_per_sp.s_8"
3.455820206,164.47463508,182.88012728,187.14121916,123.06039156,47.66836826,16.325071152,54.54020946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.59361419816381,201.491429803861,217.53296505076,221.155792387528,162.729243845747,64.0181372775705,0.109663774581819,52.1859206652577,2.26220009592266,0.99669596279812,1.10823097097813,1.13405266118491,0.745730765041974,1.15545737193238,22.8933401992519,21.5256903337614,6.52946932426312,0,173734.880378968,0,10896.2963401255,3230.75503918357,3592.29186001239,3675.99196402562,2417.26014820621,1811.46421492701,107925.480031235,40191.8702505764
1.93486208789004,243.296613342817,255.741053331923,258.452916795302,210.133657143832,82.7875350460731,0,34.571218876766,4.12956354729593,2.14344908856882,2.31409760765315,2.35263694384525,1.73110017505061,2.72407776687657,0.165662262283936,36.1565065952081,11.4622720551142,0,120618.879953666,0,19890.7904954198,6947.91511413978,7501.06630922751,7625.99021707586,5611.30056833192,4270.66330030214,780.977307131372,67509.9195081091
0.545329043191483,289.436810896455,297.243392701891,298.808198593729,264.040234215697,103.025207645222,0,16.7983717160148,2.88110177182647,3.35373342199394,3.52527438072752,3.5626561880945,2.89659711808681,4.56475319739182,0,31.0372822827598,14.852740506406,0,122205.894918764,0,13877.3483161213,10871.0093725742,11427.053379514,11548.2251982355,9389.21807599835,7156.37570706748,0,57951.5176097593
0,338.100239215028,340.606241368172,340.853817011551,320.878626759572,122.008113371275,0,2.83911569384613,1.00378790979506,5.52530716227594,5.6743336880619,5.7042056078601,5.04049015991585,7.86694356663918,0,20.8855717254344,20.5691705989216,0,127857.851164697,0,4834.92620634032,17910.0895597545,18393.1538212002,18489.982602514,16338.5722597945,12333.3729984208,0,38996.6675113405
0,386.917609780746,384.082339736902,382.953681054781,375.650742701056,136.783307863068,0,0,0,8.70219196560292,8.76669269430249,8.773064919237,8.25893354646501,12.56121841711,0,4.07359832553914,27.7330286039155,0,140384.836881877,0,0,28207.8503316954,28416.9271836695,28437.582527512,26771.0437391295,19692.805819762,0,7606.0527125694
0,436.451917265937,428.945787335899,426.508961617021,426.339804603234,149.885037139329,0,0,0,9.65486105063199,9.58411178096231,9.55594805185304,9.37371583164857,13.6527616457844,0,0,26.8869568377845,0,145099.480435261,0,0,31295.8937892924,31066.5625107125,30975.2707696619,30384.5714601547,21404.0688622772,0,0
0,485.865493947288,475.018626860132,471.463861263958,470.556867532073,162.015485948278,0,0,0,9.7582538689526,9.59043075136957,9.53594785632775,9.53216581982167,13.4046000644088,0,0,24.0907225034321,0,145517.629297892,0,0,31631.0379869943,31087.0452318709,30910.4408366735,30898.1815455224,21015.014419334,0,0
0,533.432312572824,521.160701278458,516.802804681122,506.439784180506,172.667004731201,0,0,0,9.87007400482332,9.64972622914382,9.57751324027936,9.55908819185106,13.1649966947822,0,0,21.8886244794062,0,145920.859986298,0,0,31993.4990392417,31279.2494453626,31045.1735723016,30985.4494712304,20639.3770826415,0,0
0,577.593645183358,566.188629092697,561.447726557347,533.743075355244,181.579092136684,0,0,0,9.98489220314363,9.75518974034729,9.67361776442598,9.47964068400026,12.9280579689645,0,0,20.1687126919101,0,146319.14862433,0,0,32365.6782058673,31621.1057214872,31356.6930198203,30727.9231579755,20267.9172318714,0,0
