"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","stock.s_7","stock.s_8","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","harvest.s_7","harvest.s_8","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6","rev_per_sp.s_7","rev_per_sp.s_8"
3.455820206,164.47463508,182.88012728,187.14121916,123.06039156,47.66836826,16.325071152,54.54020946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,196.625208338433,212.122190310101,215.618947041742,159.088323051718,58.376786579311,0,0,5.85581429408647,5.86291742822548,6.51900571163745,6.67089800697144,4.38665155907136,6.79680807019191,23.0030039738337,73.711610999019,38.4086430839088,0,1021969.88458238,0,28205.5897602129,19004.4414069662,21131.1285883127,21623.4821413318,14219.1773423925,10655.6718525141,108442.465119945,137631.242450186
0,180.910652962887,188.360160090374,189.944338742895,159.824592472151,8.61732999807874,0,0,0,58.9379170066126,63.583098796971,64.6312429275396,47.6863290316503,69.9931673012264,0,0,322.975593783673,0,870629.619024187,0,0,191045.192792323,206102.3867986,209499.909270868,154573.564865557,109731.540890624,0,0
0,148.49094527825,148.715871465937,148.643953653629,143.735815677223,0,0,0,0,73.1873246755382,76.201019490536,76.841898264048,64.6569682261581,12.4299825485692,0,0,435.898976382461,0,964326.31225839,0,0,237234.1484519,247002.934594849,249080.320682797,209583.29724821,19487.0612502509,0,0
0,106.870345059916,102.264467173335,101.145018390914,114.642557453528,0,0,0,0,76.7737199748982,76.8900127233627,76.8528293249208,74.3151930408183,0,0,0,557.091754656947,0,987544.361352177,0,0,248859.323147485,249236.282016734,249115.753333591,240890.094609024,0,0,0
0,70.3387128117913,63.8032882228149,62.3262810923647,84.9318271371495,0,0,0,0,63.394258212318,60.6621044808723,59.9980603521811,68.0046451169861,0,0,0,639.155942489216,0,816401.481696068,0,0,205490.266660421,196634.086074607,194481.61029956,220434.674603969,0,0,0
0,61.2902222641691,53.246517781325,51.5003915286942,81.6210717640401,0,0,0,0,27.6313292293342,25.0640023441424,24.4837860071624,33.3639781546027,0,0,0,423.273889793908,0,357898.297672737,0,0,89565.9854951105,81244.0853558954,79363.3344303553,108148.16628117,0,0,0
0,56.4875517977948,47.0948038396001,45.1206618437807,82.4642977312334,0,0,0,0,21.1898076071649,18.4088656535574,17.8051791602764,28.2187719913314,0,0,0,372.520292706922,0,277170.216664196,0,0,68686.0188677665,59671.6929693538,57714.8643545583,91470.1607652239,0,0,0
0,53.4569298702999,42.8154346729893,40.6421906509699,85.1682656938072,0,0,0,0,18.2289763298059,15.1978628410381,14.5607917241611,26.6118761311833,0,0,0,347.715176683247,0,241463.97301504,0,0,59088.5880297352,49263.339866111,47198.2961637263,86261.4641321505,0,0,0
0,51.3237525428971,39.5168775409152,37.1693201921556,88.8873439764714,0,0,0,0,16.5730361376947,13.2738963462395,12.6001342764697,26.4043735499382,0,0,0,334.050543588487,0,222845.480799938,0,0,53720.915921151,43026.8698890075,40842.8937484713,85588.8517848973,0,0,0
0,49.6856906284965,36.7933502129413,34.2946610921666,93.1917214914247,0,0,0,0,15.5401653704963,11.9651970381199,11.2543871770141,26.9139327562618,0,0,0,326.25062470437,0,212552.689615279,0,0,50372.9015210692,38784.7669385616,36480.7016805645,87240.5700997885,0,0,0
0,48.33185837997,34.4349071019673,31.8074260554025,97.8183338909693,0,0,0,0,14.8408244446329,10.9899579603908,10.2436141717857,27.8358207534733,0,0,0,321.840589579123,0,206840.889611696,0,0,48106.012414789,35623.5636404797,33204.3164016028,90228.8377444037,0,0,0
0,47.1440269091934,32.3249591914364,29.5902698267202,102.587481920988,0,0,0,0,14.3303178256051,10.2098942520878,9.43085037212745,29.0029777627934,0,0,0,319.474682004563,0,203808.670201829,0,0,46451.2230973623,33095.014463448,30569.7710242541,94012.1362987689,0,0,0
0,46.0541431508612,30.3961808777417,27.5749296213888,107.36953580133,0,0,0,0,13.929045414694,9.55064414571352,8.74266029593373,30.3102171863451,0,0,0,318.352889950185,0,202378.77218932,0,0,45150.5126379794,30958.0783437595,28339.0270064524,98249.5070910785,0,0,0
0,45.0232866926809,28.6088523465454,25.720492737755,112.06970572997,0,0,0,0,13.5908332620059,8.97008168750253,8.13751478272451,31.6853459571435,0,0,0,317.973916483758,0,201896.849211556,0,0,44054.2097959947,29076.2054783771,26377.4690296835,102706.938823985,0,0,0
0,44.0300778267454,26.9391890166975,24.0017465693074,116.61988511439,0,0,0,0,13.28835325515,8.44373132508609,7.59124929569766,33.076702043226,0,0,0,318.015353481621,0,201949.514746599,0,0,43073.7314526706,27370.0592219209,24606.7685946287,107216.970830861,0,0,0
0,43.0637811112817,25.3726546388653,22.4025566073725,120.973333916767,0,0,0,0,13.0055743252534,7.95727925799598,7.08961951353645,34.4471020384255,0,0,0,318.268898093978,0,202271.914089816,0,0,42157.1134599845,25793.2418917288,22980.7532328607,111659.074403336,0,0,0
0,42.1199980024738,23.8999973123306,20.9119816037132,125.100533828392,0,0,0,0,12.7334617709182,7.50240038225676,6.62417676222294,35.7704150211305,0,0,0,318.601963304531,0,202695.820079698,0,0,41275.0701499308,24318.7679549759,21472.0368635919,115948.547074504,0,0,0
0,41.1979170966942,22.5148768124519,19.5219764908672,128.985613117952,0,0,0,0,12.4673426983601,7.07429893432595,6.18985882050572,37.0292331660308,0,0,0,318.93315841705,0,203117.785917333,0,0,40412.4545010462,22931.0921121829,20064.2104740162,120028.961988505,0,0,0
0,40.2985624011476,21.2124621184714,18.226052529556,132.623181522657,0,0,0,0,12.2052155551127,6.67021403164175,5.78354314791307,38.2130292635425,0,0,0,319.215751203878,0,203478.175882109,0,0,39562.7785511447,21621.265059267,18747.1524586083,123866.195564293,0,0,0
0,39.4237039414782,19.988631094548,17.0185230329377,136.015573860009,0,0,0,0,11.9466433457944,6.28850520504757,5.40317411338023,39.3165848762537,0,0,0,319.426147214873,0,203746.70090186,0,0,38724.6257950096,20383.9692729393,17514.1995613011,127443.332419825,0,0,0
0,38.5752120268086,18.8395423139958,15.8941048193363,139.170530568178,0,0,0,0,11.6920312029886,5.92810099247417,5.04724524680033,40.3386332249329,0,0,0,319.555766689318,0,203912.220282106,0,0,37899.3094557143,19215.7316464462,16360.4686120298,130756.266334605,0,0,0
0,37.7547052366415,17.7614313883111,14.8477300185867,142.099322786736,0,0,0,0,11.4421656722634,5.58817834096528,4.71450371883313,41.2807132816589,0,0,0,319.605340863323,0,203975.542475858,0,0,37089.3790931566,18113.8842824699,15281.8986083873,133809.985832708,0,0,0
0,36.9633873352931,16.7505367711298,13.8744763310216,144.815298385892,0,0,0,0,11.1979333988535,5.26798777815876,4.40379260889924,42.1462369422436,0,0,0,319.580972851273,0,203944.415444281,0,0,36297.7087367974,17075.9977926099,14274.7394328539,136615.550454871,0,0,0
0,36.2020002670541,15.8030948746405,12.9695587599655,147.332800830746,0,0,0,0,10.9601611088468,4.96676833229384,4.11397620324917,42.9397605511012,0,0,0,319.491488810609,0,203830.131356029,0,0,35526.9781902816,16099.6055135681,13335.309709106,139187.729431884,0,0,0
