"id","s1","s2"
"005",0.9,0.933333333333333
"010",0.9,0.933333333333333
"015",0.9,0.933333333333333
"020",0.9,0.933333333333333
"025",0.9,0.933333333333333
"030",0.866666666666667,0.9
"035",0.866666666666667,0.9
"040",0.833333333333333,0.9
"045",0.833333333333333,0.866666666666667
"050",0.8,0.866666666666667
"055",0.766666666666667,0.833333333333333
"060",0.733333333333333,0.833333333333333
"065",0.7,0.766666666666667
"070",0.633333333333333,0.733333333333333
"075",0.5,0.633333333333333
"080",0.266666666666667,0.433333333333333
"085",0,0
"090",0,0
"095",0,0
"100",0,0
