"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","effort.t_1","effort.t_2","effort.t_3","effort.t_4","effort.t_5","effort.t_6","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","profit_per_t.t_6","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6","mortality1","mortality2","mortality3","mortality4","mortality5","mortality6"
526.21020132,210.79587798,913.3451202,575.51715102,318.72953544,513.72212772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
496.02459734171,192.47967815954,859.274294731934,542.52668822539,295.872001482559,483.670932696776,78.3037817457592,72.7402511102503,159.529913253336,84.644045624028,83.0491548942952,85.9440597747347,1.13379917585553,5.06252013248013,0.561303931404836,0.75007666068268,2.79609527734647,1.03428688531858,42814.4219402319,107672.323924346,385074.651284734,125297.822196183,122934.859589832,127221.948803248,127222.983090134,122937.65568511,125298.572272844,385075.212588665,107677.386444478,42815.5557394078,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
471.473443163145,182.23204912204,817.21500325259,515.614166860979,280.664258110498,459.995098506022,73.8119514088038,66.4198003163679,150.085603627219,79.7919812987429,77.0933250540749,80.9165914967846,1.13379917585189,5.06252013248013,0.561303931346629,0.750076660697232,2.79609527734647,1.03428688533313,40358.3437294973,98316.161246207,362277.863755269,118115.31186067,114118.445272937,119779.788014146,119780.822301031,114121.241368215,118116.061937331,362278.4250592,98321.2237663394,40359.4775286732,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
451.154717303425,175.960888577917,783.732247614131,493.282709141553,270.031640505723,440.937992064041,70.1585668610011,62.8836063612703,142.739295017138,75.833828735898,73.1307483410147,76.9557005798943,1.13379917585189,5.06252013248013,0.561303931346629,0.750076660697232,2.79609527734647,1.03428688531858,38360.7174813575,93081.5336880953,344545.256170404,112256.059017706,108252.643360852,113916.481585962,113917.515872847,108255.439456129,112256.809094367,344545.817474336,93086.5962082277,38361.8512805334,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
434.10113447014,171.932856198743,756.597500360473,474.495279911779,262.353572945789,425.339874409739,67.1349974375681,60.719589696886,136.891011634623,72.5494349993416,70.3602805676327,73.7675079621221,1.13379917585371,5.06252013248013,0.561303931404836,0.750076660697232,2.7960952773501,1.03428688531858,36707.4664851121,89878.1400362088,330428.599796221,107394.171297921,104151.520192961,109197.000372693,109198.034659579,104154.316288239,107394.921374582,330429.161100153,89883.2025563413,36708.6002842879,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
419.621868655841,169.269391248701,734.295330214788,458.508726995595,256.684105814904,412.401192184802,64.5973042784297,59.3296190316669,132.151506498716,69.7862783960737,68.359659504403,71.1579930445008,1.13379917585371,5.06252013248013,0.561303931346629,0.750076660711784,2.7960952773501,1.03428688532586,35319.8867222676,87820.5665994821,318988.325614686,103303.870854419,101190.001033124,105334.13570109,105335.169987975,101192.797128402,103304.62093108,318988.886918617,87825.6291196146,35321.0205214435,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
407.209302581494,167.475478569379,715.756000910634,444.775446608938,252.430529326714,401.551222224231,62.4426876114342,58.4105255885617,128.256086038644,67.435059994383,66.8824055897341,68.9933931206288,1.13379917585553,5.06252013248195,0.561303931346629,0.75007666068268,2.79609527734647,1.03428688532586,34141.7685273849,86460.0326675628,309585.513118938,99823.3624895185,99003.2222109655,102129.878650242,102130.912937127,99006.0183062428,99824.1125661792,309586.074422869,86465.0951876953,34142.9023265607,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
396.481436674808,166.252541313404,700.201060409371,432.882368156469,249.20172646877,392.370784957291,60.5956104122397,57.7914923322256,125.01790418389,65.4152411083166,65.7740805260966,67.1782280405624,1.13379917585371,5.06252013248013,0.561303931346629,0.750076660697232,2.79609527734283,1.03428688531858,33131.8091740311,85543.6778001119,301769.151029277,96833.4247944563,97362.5687300955,99442.8899637364,99443.9242506218,97365.3648253728,96834.174871117,301769.712333208,85548.7403202444,33132.942973207,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
387.144905075837,165.412068369741,687.049526530972,422.511617749513,246.729336723881,384.544564360585,58.9992284560437,57.3694880504336,122.300992193353,63.6660694748104,64.9327736535626,65.6423704112058,1.13379917585371,5.06252013248013,0.561303931346629,0.750076660697232,2.79609527734647,1.03428688531858,32258.9269312703,84918.9849039755,295211.036372251,94244.1262002942,96117.182250814,97169.3600685856,97170.3943554709,96119.9783460913,94244.8762769549,295211.597676182,84924.047424108,32260.0607304461,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
378.970430017471,164.831260780486,675.858455398653,413.414324234223,244.823627321966,377.830515758888,57.6098868378973,57.0794623935787,120.003872510479,62.1407938699688,64.2885601243741,64.3330688754537,1.13379917585371,5.06252013248013,0.561303931375733,0.750076660697232,2.79609527734647,1.03428688531858,31499.2518278894,84489.6599531359,289666.221408177,91986.2608749747,95163.5530279776,95231.201136142,95232.2354230273,95166.3491232549,91987.0109516354,289666.782712109,84494.7224732683,31500.3856270652,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
