"id","s1","s2","total","order"
"10",0.833333333333333,0.9,0.124422690652742,10
"100",0,0.833333333333333,0.213195303031594,100
"15",0.833333333333333,0.9,0.186630682554544,15
"20",0.8,0.9,0.248835820048929,20
"25",0.8,0.9,0.311037423467277,25
"30",0.766666666666667,0.9,0.373234523798797,30
"35",0.733333333333333,0.9,0.435425673055867,35
"40",0.7,0.9,0.497608571743385,40
"45",0.666666666666667,0.9,0.559779254309071,45
"5",0.833333333333333,0.9,0.0622123392662293,5
"50",0.6,0.9,0.621930016398868,50
"55",0.5,0.9,0.684042731646951,55
"60",0.366666666666667,0.9,0.746055064954149,60
"65",0,0.866666666666667,0.673084783532106,65
"70",0,0.866666666666667,0.380727380891346,70
"75",0,0.866666666666667,0.315328600265209,75
"80",0,0.866666666666667,0.279080083377351,80
"85",0,0.866666666666667,0.252096503955395,85
"90",0,0.866666666666667,0.240295827975334,90
"95",0,0.833333333333333,0.241582428588509,95
