"id","s1","s2"
"005",0.833333333333333,0.9
"015",0.833333333333333,0.9
"025",0.8,0.9
"035",0.733333333333333,0.9
"045",0.666666666666667,0.866666666666667
"055",0.533333333333333,0.866666666666667
"065",0,0.866666666666667
"075",0,0.233333333333333
"085",0,0.8
"095",0,0
"10 %",0.833333333333333,0.9
"100 %",0,0.8
"20 %",0.8,0.9
"30 %",0.766666666666667,0.9
"40 %",0.7,0.866666666666667
"50 %",0.6,0.866666666666667
"60 %",0.366666666666667,0.866666666666667
"70 %",0,0.366666666666667
"80 %",0,0.166666666666667
"90 %",0,0.0333333333333333
