"id","s1","s2","total","order"
"10",0.833333333333333,0.9,0.124354370332794,10
"100",0,0.8,0.220348339438074,100
"15",0.833333333333333,0.9,0.186525927342134,15
"20",0.8,0.9,0.248692702376024,20
"25",0.8,0.9,0.31085356721647,25
"30",0.766666666666667,0.9,0.373006917626363,30
"35",0.733333333333333,0.9,0.435150364181484,35
"40",0.7,0.866666666666667,0.497280127961755,40
"45",0.666666666666667,0.866666666666667,0.559389728214426,45
"5",0.833333333333333,0.9,0.0621788547428453,5
"50",0.6,0.866666666666667,0.621466676329209,50
"55",0.533333333333333,0.866666666666667,0.683481994346525,55
"60",0.366666666666667,0.866666666666667,0.745339181479413,60
"65",0,0.866666666666667,0.753620306369999,65
"70",0,0.866666666666667,0.390216716221384,70
"75",0,0.866666666666667,0.318322678412119,75
"80",0,0.833333333333333,0.281397834250272,80
"85",0,0.8,0.258665893888697,85
"90",0,0.766666666666667,0.241747031868623,90
"95",0,0.733333333333333,0.244980291798665,95
