"id","s1","s2","s3","s4","total","order"
"10",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,10
"100",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,100
"105",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,105
"11",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,11
"115",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,115
"12",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,12
"125",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,125
"13",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,13
"135",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,135
"14",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,14
"145",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,145
"15",1.53333333333333,1.4,1.73333333333333,1.73333333333333,0.0435845488092899,15
"20",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,20
"25",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,25
"30",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,30
"35",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,35
"40",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,40
"45",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,45
"5",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,5
"50",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,50
"55",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,55
"60",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,60
"65",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,65
"70",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,70
"75",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,75
"80",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,80
"85",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,85
"90",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,90
"95",0.766666666666667,0.7,0.866666666666667,0.866666666666667,0.0217922744046449,95
