"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","effort.t_3","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","rev_per_sp.s_1","rev_per_sp.s_2"
1631.3743,32.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1395.47134260059,41.918922999396,627.432789399407,1.39721060060399,106.735516149544,0,0,1627744.23008998,0,0,1625176.41110234,2674.55450378217
1115.7518254049,52.4413359952384,626.740068721095,2.089931278906,124.641279484692,0,0,1627258.05207529,0,0,1623382.12600138,4000.56735339466
779.125241992433,63.5916291742536,625.566116044201,3.26388395580025,155.596910998635,-3.06440457990847e-18,0,1626433.51617372,-9.52571672753473e-17,0,1620341.35377769,6247.7593070324
367.353051761877,73.671467781104,623.183697888691,5.64630211130824,221.975053345317,0,0,1624756.64718243,0,0,1614170.41427129,10808.2079644873
0,76.353284984031,615.128672057257,13.7013279427426,464.705356449727,0.301093706112404,0.0188404942127254,1619055.17526281,13.2704722879137,0.0342982381077302,1593306.28636271,26227.2189612773
0,91.3616095642361,0,1.46501738127585,29.2312443298564,23.3575180942151,1.46156221649282,1679.70004581367,1067.78978494895,2.81076600886599,0,2804.35092141205
0,105.58583507956,0,2.09756200805172,34.9770613287913,27.9487706253839,1.74885306643956,2411.81257706726,1534.31878831527,4.36812102955056,0,4015.17417143269
0,117.934534166629,0,2.80155170532163,40.4226922735289,32.300156488086,2.02113461367644,3227.56540900729,2054.3000618216,6.14883563952561,0,5362.75828984371
0,127.761364342769,0,3.49517814311089,45.1502929294207,36.0777930681829,2.25751464647103,4031.94761029557,2567.13651227307,7.93523011159144,0,6690.5049533243
0,134.98788872064,0,4.10191263063366,48.9124162477142,39.0839553268985,2.44562081238571,4735.9365101316,3016.0271726631,9.51650150356258,0,7851.92217668526
0,139.966567151784,0,4.57906631998007,51.6790332935873,41.2946483435738,2.58395166467936,5289.76593102582,3369.20131529528,10.7696607461192,0,8765.29454036906
0,143.231117439666,0,4.92306926659578,53.5850805015233,42.8176944255472,2.67925402507617,5689.13662420794,3623.89221741353,11.6775502366975,0,9423.78842081032
0,145.298417087417,0,5.15539664144576,54.8348874628366,43.8163651760542,2.74174437314183,5958.89487866107,3795.93134930662,12.2925800421679,0,9868.51180502189
0,146.577531192592,0,5.30528953029269,55.6263365945808,44.4487805192657,2.78131682972904,6132.95230927262,3906.93939878045,12.690129784939,0,10155.4382717816
0,147.357308900952,0,5.39910942061899,56.1160351968343,44.8400790843824,2.80580175984171,6241.90277722785,3976.42530550295,12.93924527122,0,10335.0292440431
0,147.82830726974,0,5.45670765964874,56.4145668542582,45.0786237905635,2.82072834271291,6308.79213985287,4019.08602191176,13.0922884240549,0,10445.2843691762
0,148.111193560069,0,5.49164597161407,56.5948848117616,45.2227086576863,2.82974424058808,6349.36708890138,4044.96404801826,13.1851606936948,0,10512.1636353234
0,148.280517082037,0,5.51268386071425,56.7031855649239,45.3092474575081,2.83515927824619,6373.79932085545,4060.54656287389,13.2410969878048,0,10552.4345730178
0,148.381658307756,0,5.52529547473323,56.7680097207213,45.3610458474395,2.83840048603606,6388.44584558309,4069.88791489959,13.2746341522235,0,10576.5758506891
0,148.441998024773,0,5.53283558528562,56.8067308298581,45.3919863369064,2.8403365414929,6397.20260432204,4075.47286088289,13.2946867963869,0,10591.0092057096
0,148.477969485455,0,5.53733637895075,56.8298314078001,45.4104450847168,2.84149157039001,6402.42964427017,4078.80660049944,13.3066571188049,0,10599.6246699513
0,148.499404400131,0,5.54002039310504,56.8436027937507,45.4214492483745,2.84218013968754,6405.54675435366,4080.79465439694,13.313795753181,0,10604.7624366856
0,148.51217382944,0,5.54162007063915,56.8518089793551,45.4280064830435,2.84259044896776,6407.40455947081,4081.97953956384,13.3180504721577,0,10607.8245554182
0,148.519779776611,0,5.5425731568619,56.8566976532106,45.4319128267744,2.84283488266053,6408.51143840399,4082.68549337249,13.3205854574825,0,10609.6489625966
0,148.524309739672,0,5.54314088941936,56.8596095292374,45.4342395904325,2.84298047646187,6409.17078210546,4083.10601473121,13.3220955026249,0,10610.7357219354
0,148.527007553125,0,5.54347903436472,56.8613437893555,45.4356253683224,2.84306718946777,6409.5634912732,4083.35647985276,13.3229948981886,0,10611.3830023713
0,148.528614179222,0,5.54368042103556,56.8623766256533,45.4364506664946,2.84311883128267,6409.79737440964,4083.50564767109,13.3235305463056,0,10611.7684987505
0,148.529570952791,0,5.54380035437234,56.8629917096015,45.4369421554742,2.84314958548008,6409.93666062282,4083.59448272434,13.323849545351,0,10611.9980763431
0,148.530140721284,0,5.54387177736062,56.8633580027082,45.437234845644,2.84316790013541,6410.01960868562,4083.64738599077,13.3240395165854,0,10612.1347949415
0,148.53048002191,0,5.54391431070278,56.8635761340179,45.4374091456484,2.8431788067009,6410.06900536449,4083.67889059246,13.3241526470454,0,10612.2162126904
