"id","s1","s2","total","fraction"
"1",0.967741935483871,1,0.00901868532790634,1
"10",0.967741935483871,1,0.0904350350671268,10
"100",0.161290322580645,0.032258064516129,0.417792214744684,100
"11",0.967741935483871,1,0.0995118165554378,11
"12",0.967741935483871,1,0.108595378019843,12
"13",0.967741935483871,1,0.117685931247069,13
"14",0.967741935483871,1,0.126783700486085,14
"15",0.967741935483871,1,0.135888920674594,15
"16",0.967741935483871,1,0.145001840025746,16
"17",0.967741935483871,1,0.154122720278778,17
"18",0.967741935483871,1,0.163251837969127,18
"19",0.967741935483871,1,0.17238948664245,19
"2",0.967741935483871,1,0.0180424992536995,2
"20",0.967741935483871,1,0.181535976080725,20
"21",0.967741935483871,1,0.190691635469758,21
"22",0.967741935483871,1,0.199856814293738,22
"23",0.967741935483871,1,0.209031884527075,23
"24",0.967741935483871,1,0.218217241888619,24
"25",0.967741935483871,1,0.227413309981838,25
"26",0.967741935483871,1,0.236620540309382,26
"27",0.967741935483871,1,0.24583941652597,27
"28",0.967741935483871,1,0.2550704578583,28
"29",0.967741935483871,1,0.264314221608321,29
"3",0.967741935483871,1,0.027071575431235,3
"30",0.967741935483871,1,0.273571309425135,30
"31",0.967741935483871,1,0.282842369464235,31
"32",0.967741935483871,1,0.29212810306988,32
"33",0.967741935483871,1,0.301429271568726,33
"34",0.967741935483871,1,0.310746701775437,34
"35",0.967741935483871,1,0.320081296721838,35
"36",0.967741935483871,1,0.329434042670877,36
"37",0.967741935483871,1,0.338806022458804,37
"38",0.967741935483871,1,0.348198427714865,38
"39",0.967741935483871,1,0.357612575255608,39
"4",0.967741935483871,1,0.0361060542954635,4
"40",0.967741935483871,1,0.367049926343686,40
"41",0.967741935483871,1,0.376512108411437,41
"42",0.967741935483871,1,0.386000942900566,42
"43",0.967741935483871,1,0.395518478396142,43
"44",0.967741935483871,1,0.405067032002723,44
"45",0.967741935483871,1,0.414649240060164,45
"46",0.967741935483871,1,0.424268121128457,46
"47",0.967741935483871,1,0.433927156175806,47
"48",0.967741935483871,1,0.443630391067953,48
"49",0.967741935483871,1,0.453382570206112,49
"5",0.967741935483871,1,0.045146081321867,5
"50",0.967741935483871,1,0.463189308806534,50
"51",0.967741935483871,1,0.473057324572813,51
"52",0.967741935483871,1,0.482994751766806,52
"53",0.967741935483871,1,0.493011568521743,53
"54",0.967741935483871,1,0.50312020216209,54
"55",0.967741935483871,0.903225806451613,0.513336389992057,55
"56",0.967741935483871,0.741935483870968,0.523680445193278,56
"57",0.967741935483871,0.548387096774194,0.534179158788683,57
"58",0.967741935483871,0.0967741935483871,0.544868737023965,58
"59",0.967741935483871,0.0645161290322581,0.555799483826703,59
"6",0.967741935483871,1,0.0541918094878879,6
"60",0.935483870967742,0.0645161290322581,0.567043476715861,60
"61",0.935483870967742,0.0645161290322581,0.578707491769813,61
"62",0.935483870967742,0.0645161290322581,0.590954953309254,62
"63",0.935483870967742,0.0645161290322581,0.604041443585285,63
"64",0.935483870967742,0.0645161290322581,0.618357371072523,64
"65",0.935483870967742,0.0645161290322581,0.634391639993303,65
"66",0.935483870967742,0.0645161290322581,0.652268922301375,66
"67",0.935483870967742,0.0645161290322581,0.670849586736691,67
"68",0.935483870967742,0.0645161290322581,0.688552219914303,68
"69",0.935483870967742,0.0645161290322581,0.704967961494881,69
"7",0.967741935483871,1,0.0632433979573345,7
"70",0.935483870967742,0.0645161290322581,0.720338083829388,70
"71",0.935483870967742,0.0645161290322581,0.734931807586426,71
"72",0.935483870967742,0.032258064516129,0.748942681542415,72
"73",0.838709677419355,0.032258064516129,0.76250513329321,73
"74",0.774193548387097,0.032258064516129,0.775714727135298,74
"75",0.67741935483871,0.032258064516129,0.78864132411766,75
"76",0.645161290322581,0.032258064516129,0.801337268819368,76
"77",0.580645161290323,0.032258064516129,0.813842612868676,77
"78",0.548387096774194,0.032258064516129,0.826188525158594,78
"79",0.516129032258065,0.032258064516129,0.809271538603824,79
"8",0.967741935483871,1,0.0723010132336057,8
"80",0.483870967741935,0.032258064516129,0.762005798680143,80
"81",0.451612903225806,0.032258064516129,0.743031873450713,81
"82",0.419354838709677,0.032258064516129,0.72323443533445,82
"83",0.387096774193548,0.032258064516129,0.67202426721544,83
"84",0.354838709677419,0.032258064516129,0.650244666054667,84
"85",0.32258064516129,0.032258064516129,0.627670260678067,85
"86",0.32258064516129,0.032258064516129,0.60430784242334,86
"87",0.290322580645161,0.032258064516129,0.580162613885333,87
"88",0.290322580645161,0.032258064516129,0.587684922759433,88
"89",0.258064516129032,0.032258064516129,0.562358435249601,89
"9",0.967741935483871,1,0.081364831374313,9
"90",0.258064516129032,0.032258064516129,0.536259561252596,90
"91",0.225806451612903,0.032258064516129,0.542944943478261,91
"92",0.225806451612903,0.032258064516129,0.515686321262573,92
"93",0.225806451612903,0.032258064516129,0.487664672746979,93
"94",0.193548387096774,0.032258064516129,0.49354717779558,94
"95",0.193548387096774,0.032258064516129,0.464366105522222,95
"96",0.193548387096774,0.032258064516129,0.469834883783562,96
"97",0.161290322580645,0.032258064516129,0.439532726877368,97
"98",0.161290322580645,0.032258064516129,0.444600079670554,98
"99",0.161290322580645,0.032258064516129,0.449626464767857,99
