"id","s1","s2","s3","s4","total","order"
"10",0.766666666666667,0.7,0,0,0.00292109205680233,10
"100",0.766666666666667,0.7,0,0,0.0292068337717898,100
"15",0.766666666666667,0.7,0,0,0.0043816046338959,15
"20",0.766666666666667,0.7,0,0,0.00584209481547815,20
"25",0.766666666666667,0.7,0,0,0.00730256253275534,25
"30",0.766666666666667,0.7,0,0,0.00876300771473952,30
"35",0.766666666666667,0.7,0,0,0.0102234302916866,35
"40",0.766666666666667,0.7,0,0,0.0116838301920534,40
"45",0.766666666666667,0.7,0,0,0.0131442073424257,45
"5",0.766666666666667,0.7,0,0,0.00146055715626215,5
"50",0.766666666666667,0.7,0,0,0.0146045616722883,50
"55",0.766666666666667,0.7,0,0,0.0160648931090415,55
"60",0.766666666666667,0.7,0,0,0.0175252015812088,60
"65",0.766666666666667,0.7,0,0,0.0189854870146947,65
"70",0.766666666666667,0.7,0,0,0.0204457493355353,70
"75",0.766666666666667,0.7,0,0,0.0219059884723844,75
"80",0.766666666666667,0.7,0,0,0.0233662043491237,80
"85",0.766666666666667,0.7,0,0,0.024826396892333,85
"90",0.766666666666667,0.7,0,0,0.0262865660276187,90
"95",0.766666666666667,0.7,0,0,0.0277467116791452,95
