"id","s1","s2","total","order"
"10",0.833333333333333,0.9,0.127785733396274,10
"100",0,0.833333333333333,0.218683042197201,100
"15",0.833333333333333,0.9,0.191675033051199,15
"20",0.8,0.9,0.255561271239443,20
"25",0.8,0.9,0.319443687077226,25
"30",0.766666666666667,0.9,0.383321179836228,30
"35",0.733333333333333,0.9,0.447192073510745,35
"40",0.7,0.9,0.511053638746888,40
"45",0.666666666666667,0.9,0.574900998694989,45
"5",0.833333333333333,0.9,0.0638939199356706,5
"50",0.6,0.9,0.638724148534814,50
"55",0.466666666666667,0.9,0.702497154211024,55
"60",0.266666666666667,0.866666666666667,0.766105445129622,60
"65",0,0.866666666666667,0.495509140418871,65
"70",0,0.866666666666667,0.360797531571847,70
"75",0,0.866666666666667,0.29227233229381,75
"80",0,0.866666666666667,0.277252348582939,80
"85",0,0.866666666666667,0.258401229196142,85
"90",0,0.866666666666667,0.235513210133861,90
"95",0,0.833333333333333,0.22168930815026,95
