"id","s1","s2","s3","total","fraction"
"1",0.838709677419355,0.870967741935484,0.854838709677419,0.012761857385468,1
"10",0.806451612903226,0.870967741935484,0.838709677419355,0.127612476320533,10
"11",0.806451612903226,0.870967741935484,0.838709677419355,0.140372889736704,11
"12",0.806451612903226,0.870967741935484,0.838709677419355,0.153133128916052,12
"13",0.806451612903226,0.870967741935484,0.838709677419355,0.165893187106261,13
"14",0.806451612903226,0.870967741935484,0.838709677419355,0.178653057132472,14
"15",0.806451612903226,0.870967741935484,0.838709677419355,0.191412731362663,15
"16",0.774193548387097,0.870967741935484,0.82258064516129,0.204172201666613,16
"17",0.774193548387097,0.870967741935484,0.82258064516129,0.2169314593725,17
"18",0.774193548387097,0.870967741935484,0.82258064516129,0.229690495217496,18
"19",0.774193548387097,0.870967741935484,0.82258064516129,0.242449299292708,19
"2",0.838709677419355,0.870967741935484,0.854838709677419,0.0255235907267221,2
"20",0.774193548387097,0.870967741935484,0.82258064516129,0.255207860982064,20
"21",0.774193548387097,0.870967741935484,0.82258064516129,0.267966168893803,21
"22",0.774193548387097,0.870967741935484,0.82258064516129,0.280724210782798,22
"23",0.774193548387097,0.870967741935484,0.82258064516129,0.293481973463978,23
"24",0.774193548387097,0.870967741935484,0.82258064516129,0.30623944271409,24
"25",0.774193548387097,0.870967741935484,0.82258064516129,0.318996603160409,25
"26",0.741935483870968,0.870967741935484,0.806451612903226,0.331753438154424,26
"27",0.741935483870968,0.870967741935484,0.806451612903226,0.344509929627895,27
"28",0.741935483870968,0.870967741935484,0.806451612903226,0.357266057927728,28
"29",0.741935483870968,0.870967741935484,0.806451612903226,0.370021801627564,29
"3",0.806451612903226,0.870967741935484,0.838709677419355,0.0382851961121337,3
"30",0.741935483870968,0.870967741935484,0.806451612903226,0.382777137308986,30
"31",0.741935483870968,0.870967741935484,0.806451612903226,0.395532039310037,31
"32",0.741935483870968,0.870967741935484,0.806451612903226,0.408286479432206,32
"33",0.709677419354839,0.870967741935484,0.790322580645161,0.421040426598909,33
"34",0.709677419354839,0.870967741935484,0.790322580645161,0.433793846454724,34
"35",0.709677419354839,0.870967741935484,0.790322580645161,0.446546700893675,35
"36",0.709677419354839,0.870967741935484,0.790322580645161,0.459298947499655,36
"37",0.709677419354839,0.870967741935484,0.790322580645161,0.472050538881093,37
"38",0.67741935483871,0.838709677419355,0.758064516129032,0.484801421871193,38
"39",0.67741935483871,0.838709677419355,0.758064516129032,0.497551536565105,39
"4",0.806451612903226,0.870967741935484,0.838709677419355,0.0510466694291331,4
"40",0.67741935483871,0.838709677419355,0.758064516129032,0.51030081514831,40
"41",0.67741935483871,0.838709677419355,0.758064516129032,0.523049180461977,41
"42",0.645161290322581,0.838709677419355,0.741935483870968,0.535796544231676,42
"43",0.645161290322581,0.838709677419355,0.741935483870968,0.548542804859635,43
"44",0.645161290322581,0.838709677419355,0.741935483870968,0.561287844646067,44
"45",0.645161290322581,0.838709677419355,0.741935483870968,0.574031526255421,45
"46",0.612903225806452,0.838709677419355,0.725806451612903,0.586773688164897,46
"47",0.612903225806452,0.838709677419355,0.725806451612903,0.599514138729346,47
"48",0.580645161290323,0.838709677419355,0.709677419354839,0.612252648324075,48
"49",0.580645161290323,0.838709677419355,0.709677419354839,0.624988938773795,49
"5",0.806451612903226,0.870967741935484,0.838709677419355,0.063808006349129,5
"50",0.580645161290323,0.838709677419355,0.709677419354839,0.637722668863843,50
"51",0.548387096774194,0.838709677419355,0.693548387096774,0.650453414064761,51
"52",0.548387096774194,0.838709677419355,0.693548387096774,0.663180637466865,52
"53",0.516129032258065,0.838709677419355,0.67741935483871,0.675903646945085,53
"54",0.483870967741935,0.838709677419355,0.661290322580645,0.688621529941382,54
"55",0.483870967741935,0.838709677419355,0.661290322580645,0.70133305025791,55
"56",0.451612903225806,0.838709677419355,0.645161290322581,0.714036476912084,56
"57",0.419354838709677,0.838709677419355,0.629032258064516,0.726729283443235,57
"58",0.354838709677419,0.838709677419355,0.596774193548387,0.739407579333439,58
"59",0.32258064516129,0.838709677419355,0.580645161290323,0.752064925489727,59
"6",0.806451612903226,0.870967741935484,0.838709677419355,0.076569202312493,6
"60",0.258064516129032,0.838709677419355,0.548387096774194,0.764689510774081,60
"61",0.161290322580645,0.838709677419355,0.5,0.777255905808935,61
"62",0.032258064516129,0.838709677419355,0.435483870967742,0.789690649502124,62
"7",0.806451612903226,0.870967741935484,0.838709677419355,0.0893302525112128,7
"8",0.806451612903226,0.870967741935484,0.838709677419355,0.102091151871102,8
"9",0.806451612903226,0.870967741935484,0.838709677419355,0.114851895030947,9
