"stock.s_1","stock.s_2","stock.s_3","stock_g.sg_1","stock_g.sg_2","stock_g.sg_3","harvest.s_1","harvest.s_2","harvest.s_3","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3"
41.18702102,48.61480592,48.61480592,41.18702102,48.61480592,48.61480592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,52.1654623416888,40.5287677476979,64.7365220186788,79.7239162159039,68.087221621913,64.7365220186788,27.5584538742151,27.5584538742151,39.4430183181566,0,359326.463326428,0,156651.885028163,66686.9892486942,66686.9892486942
0,1.36127976917618,0,0,84.9371619951664,57.0107438651713,0,83.5758822259903,57.0107438651713,111.476097801951,0,359254.430246942,0,0,202240.081569652,137956.754778393
0,1.9809436791123,0,0,2.44405281517425,0,0,0.463109136061949,0,23.6711745306864,0,1096.97783279375,0,0,1120.64900732443,0
0,2.57187060828714,0,0,3.55256304167948,0,0,0.980692433392342,0,34.4464559200089,0,2338.67019497823,0,0,2373.11665089824,0
0,2.95425882556266,0,0,4.60731190433344,0,0,1.65305307877078,0,44.7220324709228,0,3955.39834418963,0,0,4000.12037666055,0
0,3.1074634797355,0,0,5.28861407204139,0,0,2.18115059230589,0,51.371347648129,0,5226.65937072173,0,0,5278.03071836986,0
0,3.14806855197842,0,0,5.56130921667262,0,0,2.4132406646942,0,54.0354099444734,0,5785.61564579013,0,0,5839.6510557346,0
0,3.15683781827729,0,0,5.63355792605632,0,0,2.47672010777903,0,54.7414879849008,0,5938.51952561718,0,0,5993.26101360208,0
0,3.15862203987236,0,0,5.64915967931237,0,0,2.49053763944001,0,54.8939759875634,0,5971.80322345882,0,0,6026.69719944638,0
0,3.1589802952628,0,0,5.65233399752303,0,0,2.49335370226023,0,54.9250016604152,0,5978.5866131328,0,0,6033.51161479322,0
0,3.15905203532375,0,0,5.65297136908412,0,0,2.49391933376036,0,54.9312313319829,0,5979.94911996366,0,0,6034.88035129564,0
0,3.15906639334382,0,0,5.65309900160408,0,0,2.49403260826027,0,54.9324788136117,0,5980.22197840218,0,0,6035.15445721579,0
0,3.15906926663779,0,0,5.65312454590899,0,0,2.4940552792712,0,54.9327284839635,0,5980.27658890175,0,0,6035.20931738571,0
0,3.15906984162224,0,0,5.65312965777641,0,0,2.49405981615417,0,54.9327784474205,0,5980.28751745934,0,0,6035.22029590677,0
0,3.1590699566838,0,0,5.65313068072926,0,0,2.49406072404546,0,54.9327884457746,0,5980.28970441069,0,0,6035.22249285646,0
0,3.15906997970903,0,0,5.65313088543488,0,0,2.49406090572585,0,54.93279044657,0,5980.29014204697,0,0,6035.22293249354,0
0,3.15906998431666,0,0,5.65313092639899,0,0,2.49406094208233,0,54.9327908469537,0,5980.29022962336,0,0,6035.22302047032,0
0,3.15906998523871,0,0,5.65313093459641,0,0,2.49406094935771,0,54.9327909270754,0,5980.29024714848,0,0,6035.22303807555,0
0,3.15906998542322,0,0,5.65313093623682,0,0,2.4940609508136,0,54.9327909431087,0,5980.29025065546,0,0,6035.22304159857,0
0,3.15906998546014,0,0,5.65313093656508,0,0,2.49406095110494,0,54.9327909463172,0,5980.29025135725,0,0,6035.22304230357,0
0,3.15906998546753,0,0,5.65313093663077,0,0,2.49406095116324,0,54.9327909469592,0,5980.29025149769,0,0,6035.22304244465,0
0,3.15906998546901,0,0,5.65313093664392,0,0,2.49406095117491,0,54.9327909470877,0,5980.2902515258,0,0,6035.22304247288,0
0,3.1590699854693,0,0,5.65313093664655,0,0,2.49406095117724,0,54.9327909471134,0,5980.29025153142,0,0,6035.22304247853,0
0,3.15906998546936,0,0,5.65313093664707,0,0,2.49406095117771,0,54.9327909471186,0,5980.29025153254,0,0,6035.22304247966,0
0,3.15906998546938,0,0,5.65313093664718,0,0,2.4940609511778,0,54.9327909471196,0,5980.29025153277,0,0,6035.22304247989,0
0,3.15906998546938,0,0,5.6531309366472,0,0,2.49406095117782,0,54.9327909471198,0,5980.29025153282,0,0,6035.22304247993,0
0,3.15906998546938,0,0,5.65313093664721,0,0,2.49406095117783,0,54.9327909471199,0,5980.29025153283,0,0,6035.22304247995,0
0,3.15906998546938,0,0,5.65313093664721,0,0,2.49406095117783,0,54.9327909471199,0,5980.29025153283,0,0,6035.22304247995,0
0,3.15906998546938,0,0,5.65313093664721,0,0,2.49406095117783,0,54.9327909471199,0,5980.29025153283,0,0,6035.22304247995,0
0,3.15906998546938,0,0,5.65313093664721,0,0,2.49406095117783,0,54.9327909471199,0,5980.29025153283,0,0,6035.22304247995,0
