"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
8156.8715,163.63,NA,NA,NA,NA,NA,NA,NA,NA
7788.80299585113,154.400504148882,368.068504148874,9.22949585111772,56.4046681605923,0,970981.828031422,0,953371.039446415,17667.1932531681
7526.06605433168,148.800163043668,368.174905123254,9.12309487675414,59.087209119195,0,971051.071485166,0,953646.639250253,17463.5194440315
7332.47453242341,145.155468863163,368.198297981615,9.09970201838247,61.1538444061516,0,971064.818188182,0,953707.23143198,17418.7406006079
7186.61053195489,142.673785851256,368.187097112707,9.11090288729211,62.766514817853,0,971055.6338424,0,953678.218941334,17440.1814158834
7074.90328636371,140.928679931509,368.161733995137,9.13626600486599,64.0360522457222,0,971037.219091132,0,953612.523394203,17488.7317491745
6988.30670821718,139.67113833862,368.131740385989,9.16625961401506,65.0418326381105,0,971015.937930894,0,953534.833947789,17546.1458157438
6920.55136704894,138.747191671858,368.101711957671,9.19628804232875,65.8424363953645,0,970994.838409871,0,953457.05431276,17603.6265335061
6867.1576557567,138.057519422147,368.073805965962,9.22419403403807,66.4820233324335,0,970975.334651598,0,953384.772213034,17657.044461896
6824.84642845855,137.535911012354,368.048918491304,9.24908150869344,66.9944060084981,0,970957.998584924,0,953320.308676176,17704.6843147561
6791.17036745435,137.137038383579,368.027284465062,9.27071553493863,67.4057812734154,0,970942.962824265,0,953264.272221403,17746.0963841349
6764.27429996765,136.829171976846,368.00879908274,9.2892009172607,67.7366306488138,0,970930.136041294,0,953216.391384113,17781.4812878296
6742.73413384337,136.589673499735,367.993194729141,9.3048052708595,68.0030810420603,0,970919.32120391,0,953175.97298742,17811.351297532
6725.44551743121,136.402119863888,367.980139089488,9.31786091052104,68.2179016303098,0,970910.280901489,0,953142.156269591,17836.3425335285
6711.54497143907,136.254420480581,367.969288818424,9.32871118157744,68.3912478111506,0,970902.772880558,0,953114.051897482,17857.1122308873
6700.3528336231,136.137557607854,367.960317681894,9.33768231810845,68.5312247864958,0,970896.568505,0,953090.814859641,17874.2848701464
6691.33122825451,136.044727238818,367.952929963444,9.34507003655629,68.64431976571,0,970891.461386222,0,953071.679191312,17888.4265146764
6684.05261852484,135.970742974822,367.946865442479,9.35113455752472,68.7357367486165,0,970887.27041372,0,953055.97086911,17900.0352813594
6678.17596290269,135.911615795535,367.941899680617,9.35610031937894,68.809657979963,0,970883.839687112,0,953043.108552733,17909.5407923584
6673.42843216466,135.864253456653,367.937841838115,9.36015816188611,68.8694495102427,0,970881.036834639,0,953032.597929085,17917.308355064
6669.59125652942,135.826242506685,367.93453133307,9.36346866693605,68.9178237005763,0,970878.750592153,0,953024.023058917,17923.6453569357
6666.48868231322,135.795688191703,367.931834105617,9.36616589439314,68.9569682672491,0,970876.888148808,0,953017.036700369,17928.8084167063
6663.97929746704,135.771095478123,367.929638913803,9.36836108620825,68.9886491313546,0,970875.372540231,0,953011.350714532,17933.0104748307
6661.9491801478,135.751279664792,367.927853885141,9.37014611485358,69.0142926361186,0,970874.14023517,0,953006.727133292,17936.4273945139
6660.30646243796,135.73529855418,367.926403426503,9.37159657350168,69.0350514311376,0,970873.138980858,0,953002.970155327,17939.2038769626
6658.97700066259,135.722400517837,367.925225523753,9.37277447624392,69.0518573729933,0,970872.325924422,0,952999.919151625,17941.4586301709
6657.9009163737,135.711984410288,367.924269423607,9.37373057640359,69.065464069593,0,970871.666003613,0,952997.442661026,17943.2888066575
6657.02982590956,135.703568406959,367.923493668337,9.37450633166149,69.0764811405325,0,970871.130583716,0,952995.433299727,17944.7737651297
6656.32461685613,135.696765627589,367.922864446023,9.3751355539806,69.0854018360496,0,970870.696315039,0,952993.80348809,17945.9782287852
6655.75366042931,135.691264963794,367.92235421519,9.37564578481117,69.0926253212401,0,970870.344180607,0,952992.481888185,17946.9549177434
6655.2913723348,135.686815928999,367.921940565132,9.37605943486726,69.09847466872,0,970870.058707954,0,952991.410451805,17947.7467308173
