"id","s1","s2","s3","s5","total","fraction"
"1",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0120463784280341,1
"10",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.120463700830816,10
"11",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.132510059270688,11
"12",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.144556415214705,12
"13",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.156602768544646,13
"14",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.168649119132721,14
"15",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.180695466840795,15
"16",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.192741811519711,16
"17",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.204788153003668,17
"18",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.216834491115109,18
"19",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.228880825659709,19
"2",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0240927551826853,2
"20",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.240927156422538,20
"21",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.252973483169183,21
"22",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.265019805639303,22
"23",0.9,0.933333333333333,0.766666666666667,0.866666666666667,0.277066123542988,23
"24",0.9,0.9,0.766666666666667,0.855555555555556,0.289112436559426,24
"25",0.9,0.9,0.766666666666667,0.855555555555556,0.301158744329429,25
"26",0.866666666666667,0.9,0.733333333333333,0.833333333333333,0.313205046450391,26
"27",0.866666666666667,0.9,0.733333333333333,0.833333333333333,0.32525134246587,27
"28",0.866666666666667,0.9,0.733333333333333,0.833333333333333,0.337297631862563,28
"29",0.866666666666667,0.9,0.733333333333333,0.833333333333333,0.349343914047401,29
"3",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0361391302023554,3
"30",0.866666666666667,0.9,0.733333333333333,0.833333333333333,0.361390188345142,30
"31",0.866666666666667,0.9,0.733333333333333,0.833333333333333,0.373436453972722,31
"32",0.866666666666667,0.9,0.733333333333333,0.833333333333333,0.385482710019568,32
"33",0.833333333333333,0.9,0.7,0.811111111111111,0.39752895541237,33
"34",0.833333333333333,0.9,0.7,0.811111111111111,0.409575188880733,34
"35",0.833333333333333,0.866666666666667,0.7,0.8,0.421621408897682,35
"36",0.833333333333333,0.866666666666667,0.7,0.8,0.433667613614244,36
"37",0.8,0.866666666666667,0.7,0.788888888888889,0.445713800752775,37
"38",0.8,0.866666666666667,0.666666666666667,0.777777777777778,0.457759967470462,38
"39",0.8,0.866666666666667,0.666666666666667,0.777777777777778,0.469806110150077,39
"4",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0481855034259781,4
"40",0.766666666666667,0.833333333333333,0.666666666666667,0.755555555555556,0.481852224089595,40
"41",0.766666666666667,0.833333333333333,0.666666666666667,0.755555555555556,0.493898303020747,41
"42",0.766666666666667,0.833333333333333,0.633333333333333,0.744444444444444,0.505944338331375,42
"43",0.733333333333333,0.8,0.633333333333333,0.722222222222222,0.517990317719862,43
"44",0.733333333333333,0.8,0.6,0.711111111111111,0.530036222745666,44
"45",0.7,0.8,0.6,0.7,0.542082023918985,45
"46",0.666666666666667,0.766666666666667,0.566666666666667,0.666666666666667,0.554127669655017,46
"47",0.633333333333333,0.733333333333333,0.533333333333333,0.633333333333333,0.566173056727821,47
"48",0.566666666666667,0.7,0.5,0.588888888888889,0.578217925402279,48
"49",0.466666666666667,0.6,0.4,0.488888888888889,0.590261174886668,49
"5",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0602318747816426,5
"6",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0722782441970633,6
"7",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0843246115959159,7
"8",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.0963709768937608,8
"9",0.933333333333333,0.933333333333333,0.8,0.888888888888889,0.108417340003437,9
