"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","stock.s_7","stock.s_8","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","harvest.s_7","harvest.s_8","effort.t_1","effort.t_2","effort.t_3","effort.t_4","effort.t_5","effort.t_6","effort.t_7","effort.t_8","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","profit_per_t.t_6","profit_per_t.t_7","profit_per_t.t_8","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6","rev_per_sp.s_7","rev_per_sp.s_8","mortality1","mortality2","mortality3","mortality4","mortality5","mortality6","mortality7","mortality8"
3.455820206,164.47463508,182.88012728,187.14121916,123.06039156,47.66836826,16.325071152,54.54020946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
4.34118846679926,177.884647371001,195.017041792408,198.912560415192,142.334258954339,54.0751488077808,18.7717804771251,61.5373107856706,1.51462582728721,24.6034783956578,23.6241542293307,23.3772846335211,21.1407156564502,11.0984458417222,4.23122349670862,12.1743002133484,4.37171888323826,161.180202841011,139.188665893294,134.598037748668,185.103875074794,62.7171226138157,1.20679829965411,3.6928766768865,7291.09780579552,79590.1329108007,76437.6794781179,75642.0509617564,68341.7852603354,17336.8321571338,19945.9404081461,22727.6521803048,22731.3450569817,19947.1472064457,17399.5492797476,68526.8891354102,75776.648999505,76576.8681440112,79751.3131136418,7295.46952467876,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
5.26028556990553,191.550003397721,207.326726890503,210.836842891419,158.966862554981,60.6757769738292,21.2974755926895,68.7383156426434,1.90266732092129,26.6094591204466,25.1919808957587,24.8477356452016,28.2814706308911,12.5901123183574,4.86537534142,13.7361719590814,4.37171888323837,161.180202841011,139.188665893294,134.598037748668,214.095067912259,62.7171226138157,1.20679829965411,3.6928766768865,9160.16991596063,86092.449140639,81519.7346806978,80408.4663915152,91459.3011407977,19675.3870088044,22935.5060048433,25643.9138926683,25647.6067693452,22936.712803143,19738.1041314182,91673.3962087099,80543.0644292638,81658.9233465911,86253.62934348,9164.54163484387,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
6.13107479611739,205.345585622937,219.731199984507,222.845159643879,173.178716456626,67.3107606913023,23.8260345229636,75.9844318047314,2.30549157888839,28.6536362764491,26.7821257824508,26.3372917502033,34.1866569395868,14.1269116025843,5.51999916628002,15.3435584329225,4.37171888323837,161.180202841011,139.188665893294,134.598037748668,231.720335845035,62.7171226138157,1.20679829965593,3.69287667688604,11100.4458869995,92718.5777638537,86674.1336122334,85236.8103118324,110583.1304043,22084.6986602129,26021.5821266759,28645.1588050243,28648.8516817012,26022.7889249755,22147.4157828267,110814.850740145,85371.4083495811,86813.3222781267,92879.7579666947,11104.8176058828,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
6.87779077236795,219.139548159949,232.149242354622,234.865995220651,187.019077931396,73.8111447250091,26.2774030129497,83.1072683696725,2.68714333549729,30.7172937459946,28.3845152266448,27.8373452389632,37.2429906056238,15.6717097598746,6.17536525068091,16.9610145155351,4.3717188832386,161.180202841011,139.188665893294,134.598037748668,231.720335845035,62.7171226138157,1.20679829965411,3.69287667688604,12938.7406719018,99407.8511408275,91868.2228478623,90099.1811337735,120490.128904109,24506.5505166225,29111.1574634137,31665.2052704522,31668.8981471291,29112.3642617134,24569.2676392363,120721.849239954,90233.7791715222,92007.4115137556,99569.0313436685,12943.112390785,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
7.45743142814025,232.798196719664,244.498470896606,246.826888618231,200.238624035992,80.0152116795705,28.5774653040516,89.9440159933108,3.01441594687708,32.7807089291613,29.9886575276221,29.3389625527346,40.2194328782653,17.1851695820148,6.81072468388113,18.550952500203,4.37171888323837,161.180202841011,139.188665893294,134.598037748668,231.720335845035,62.7171226138157,1.20679829965593,3.69287667688604,14515.1084583006,106096.339154995,97067.993907334,94966.6210396928,130138.162251221,26879.271808756,32106.4159632086,34633.8710923334,34637.5639690103,32107.6227615083,26941.9889313699,130369.882587066,95101.2190774415,97207.1825732273,106257.519357836,14519.4801771839,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
7.86875446200091,246.191132751429,256.697507960848,258.656168398551,212.626539104783,85.7846663178159,30.6671006501702,96.352391663043,3.26846235422609,34.8238827266858,31.5839105713955,30.8330920164707,43.0623655518504,18.6296390196522,7.40686772786682,20.0770305786962,4.37171888323837,161.180202841011,139.188665893294,134.598037748668,231.720335845035,62.7171226138157,1.20679829965411,3.69287667688695,15738.7689751614,112719.21542686,102238.950751059,99809.7893420968,139353.428910501,29143.8336691906,34916.797656289,37483.3003636839,37486.9932403607,34918.0044545886,29206.5507918044,139585.149246346,99944.3873798455,102378.139416952,112880.395629701,15743.1406940446,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
8.14015834689859,259.196248819862,268.668129718035,270.284672931993,224.02349622908,91.0169078370273,32.5080989803983,102.222474376574,3.44873807845539,36.8273090431611,33.1597621269542,32.3107805859657,45.726451612598,19.9729193159188,7.94847113612925,21.5074887682668,4.37171888323815,161.180202841011,139.188665893294,134.598037748668,231.720335845035,62.7171226138157,1.20679829965411,3.69287667688604,16607.0996403725,119213.251631657,107347.018350564,104599.665061908,147988.970540159,31249.7566105399,37470.064559001,40154.1921707599,40157.8850474368,37471.2713573006,31312.4737331537,148220.690876004,104734.263099656,107486.207016457,119374.431834498,16611.4713592557,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
8.30993000252311,271.704169854351,280.337272932387,281.647368299835,234.327910714755,95.6510929033811,34.0847143559243,107.483348807248,3.56768967581541,38.7727220368855,34.7061073686097,33.7633887369687,48.1774269737603,21.1911223140799,8.42563140820044,22.8177908360305,4.37171888323837,161.180202841011,139.188665893293,134.598037748668,231.720335845035,62.7171226138157,1.20679829965593,3.69287667688604,17180.0515456006,125519.239683543,112359.442267453,109308.243483994,155933.721303445,33159.5900594321,39719.528855906,42600.7334839563,42604.4263606331,39720.7356542057,33222.3071820459,156165.44163929,109442.841521743,112498.630933346,125680.419886384,17184.4232644838,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
8.41236459026272,283.621798412835,291.638790902857,292.684783533355,243.495322375862,99.6675203002303,35.4011607681844,112.103887828274,3.64209763659525,40.6437604787521,36.2135081076628,35.1827925701293,50.3934453144584,22.2700820909054,8.83426742330019,23.992107277751,4.37171888323837,161.180202841011,139.188665893293,134.598037748668,231.720335845035,62.7171226138157,1.20679829965229,3.69287667688604,17538.4509604812,131584.145231667,117245.628943771,113909.191273274,163116.867116615,34851.1254397433,41645.9510251416,44793.3681138766,44797.0609905535,41647.1578234413,34913.8425623571,163348.58745246,114043.789311022,117384.817609665,131745.325434508,17542.8226793644,0.438282589081917,0.149588283832888,0.129178356230914,0.124917881471822,0.215055241011396,0.232826216773088,0.259185608277749,0.223216968432735
