stock.s_1,stock.s_2,harvest.s_1,harvest.s_2,effort.t_1,effort.t_2,profit_per_t.t_1,profit_per_t.t_2,rev_per_sp.s_1,rev_per_sp.s_2,mortality1,mortality2
4226.663188,117.9594067,604.2932343,13.31756154,178.999892,112.8995338,1565061.336,25379.70994,25492.60948,1565240.336,0.143199914,0.142775602
4232.362667,117.9594093,605.2578033,13.31756252,178.999892,112.899538,1567559.762,25379.71181,25492.61135,1567738.762,0.143199914,0.142775602
4237.182643,117.9594108,606.0739681,13.3175631,178.999892,112.8995404,1569673.792,25379.71292,25492.61247,1569852.792,0.143199914,0.142775602
4241.25697,117.9594118,606.7641882,13.31756345,178.999892,112.8995419,1571461.6,25379.71359,25492.61313,1571640.6,0.143199914,0.142775602
4244.699667,117.9594123,607.3476315,13.31756366,178.999892,112.8995428,1572972.835,25379.71398,25492.61353,1573151.835,0.143199914,0.142775602
4247.607702,117.9594126,607.8406255,13.31756378,178.999892,112.8995433,1574249.788,25379.71422,25492.61376,1574428.788,0.143199914,0.142775602
4250.06343,117.9594128,608.2570559,13.31756385,178.999892,112.8995436,1575328.426,25379.71436,25492.6139,1575507.426,0.143199914,0.142775602
4252.136718,117.9594129,608.608716,13.3175639,178.999892,112.8995438,1576239.296,25379.71444,25492.61398,1576418.296,0.143199914,0.142775602
4253.886779,117.959413,608.9056106,13.31756392,178.999892,112.8995439,1577008.313,25379.71449,25492.61403,1577187.313,0.143199914,0.142775602
4255.363758,117.959413,609.1562191,13.31756394,178.999892,112.899544,1577657.439,25379.71452,25492.61406,1577836.439,0.143199914,0.142775602
4256.610092,117.9594131,609.3677224,13.31756395,178.999892,112.899544,1578205.275,25379.71454,25492.61408,1578384.275,0.143199914,0.142775602
4257.661674,117.9594131,609.5461973,13.31756395,178.999892,112.899544,1578667.56,25379.71455,25492.61409,1578846.56,0.143199914,0.142775602
4258.548846,117.9594131,609.6967837,13.31756396,178.999892,112.8995441,1579057.609,25379.71455,25492.6141,1579236.609,0.143199914,0.142775602
