"data_layer","uncertainty_score","year","sci_name","comm_name","functional_group","commercial_group","fishing_entity","fishing_sector","catch_type","reporting_status","gear_type","end_use_type","catch_mt","value_usd"
"Reconstructed domestic catch",1,1969,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,2.90317865715066
"Reconstructed domestic catch",2,1969,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,0.174016996923077
"Reconstructed domestic catch",2,1969,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",14.338329442,3.24364693950058
"Reconstructed domestic catch",1,1969,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",0.4787894908,116.688420154395
"Reconstructed domestic catch",2,1969,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.0286987193,6.9943227231132
"Reconstructed domestic catch",2,1969,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",0.5349391994,130.372974455674
"Reconstructed domestic catch",1,1969,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,2.90317865715066
"Reconstructed domestic catch",2,1969,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale seine nets","Direct human consumption",0.0268172635,0.00606665756718407
"Reconstructed domestic catch",2,1969,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.6160620704,0.139366852830553
"Reconstructed domestic catch",2,1969,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1263514353,0.0285834865253396
"Reconstructed domestic catch",2,1969,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale seine nets","Direct human consumption",0.4998691872,0.113081455252864
"Reconstructed domestic catch",2,1969,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",11.4832911986,2.59777420392721
"Reconstructed domestic catch",2,1969,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",2.3551690562,0.532791280320497
"Reconstructed domestic catch",1,1969,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",54.083330532,12.2348443916133
"Reconstructed domestic catch",2,1969,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",3.2417635544,0.733358546021861
"Reconstructed domestic catch",2,1969,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",60.4259159615,13.6696773615276
"Reconstructed domestic catch",1,1969,"Mycteroperca bonaci","Black grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",3.3343244182,2627.08253304381
