"data_layer","uncertainty_score","year","sci_name","comm_name","functional_group","commercial_group","fishing_entity","fishing_sector","catch_type","reporting_status","gear_type","end_use_type","catch_mt","value_usd"
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale seine nets","Direct human consumption",8.6019461297,1413.45544433357
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",8.6234948406,1416.99628756332
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale other nets","Direct human consumption",1.1715272802,192.50313678351
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1786368257,29.3532637848697
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale longline","Direct human consumption",0.2144085472,35.2312051050119
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","artisanal fishing gear","Direct human consumption",3.9526911185,649.498694473583
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale seine nets","Direct human consumption",162.8367676409,26757.0282688894
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",135.7675250245,22309.0617537263
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale other nets","Direct human consumption",18.0634725621,2968.15549080626
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.1128570725,18.5444597267781
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",2.7715631408,455.417989333058
"Reconstructed domestic catch",2,1970,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",3.3265639621,546.614669779093
"Reconstructed domestic catch",3,1970,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","Belize","Industrial","Discards","Unreported","shrimp trawl",NA,0.051483173,NA
"Reconstructed domestic catch",3,1970,"Ophidiidae","Cuskeels","Large bathydemersals (>=90 cm)","Other fishes & inverts","Belize","Industrial","Discards","Unreported","shrimp trawl",NA,0.2788671871,NA
"Reconstructed domestic catch",3,1970,"Gerreidae","Mojarras, silverbellies","Small benthopelagics (<30 cm)","Perch-likes","Belize","Industrial","Discards","Unreported","shrimp trawl",NA,0.5720352557,NA
"Reconstructed domestic catch",1,1970,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",17.8541213071,34048.2913939684
"Reconstructed domestic catch",2,1970,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.5256191402,1002.36989208297
"Reconstructed domestic catch",2,1970,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.5475199377,1044.1353042531
"Reconstructed domestic catch",2,1970,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.97688086,19026.1811757425
"Reconstructed domestic catch",2,1970,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",10.3925842291,19818.9387247318
"Reconstructed domestic catch",2,1970,"Sphyrna","Hammerhead sharks","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",294.0233739807,150309.394348253
